Estado,23-01-2020,24-01-2020,25-01-2020,26-01-2020,27-01-2020,28-01-2020,29-01-2020,30-01-2020,31-01-2020,01-02-2020,02-02-2020,03-02-2020,04-02-2020,05-02-2020,06-02-2020,07-02-2020,08-02-2020,09-02-2020,10-02-2020,11-02-2020,12-02-2020,13-02-2020,14-02-2020,15-02-2020,16-02-2020,17-02-2020,18-02-2020,19-02-2020,20-02-2020,21-02-2020,22-02-2020,23-02-2020,24-02-2020,25-02-2020,26-02-2020,27-02-2020,28-02-2020,29-02-2020,01-03-2020,02-03-2020,03-03-2020,04-03-2020,05-03-2020,06-03-2020,07-03-2020,08-03-2020,09-03-2020,10-03-2020,11-03-2020,12-03-2020,13-03-2020,14-03-2020,15-03-2020,16-03-2020,17-03-2020,18-03-2020,19-03-2020,20-03-2020,21-03-2020,22-03-2020,23-03-2020,24-03-2020,25-03-2020,26-03-2020,27-03-2020,28-03-2020,29-03-2020,30-03-2020,31-03-2020,01-04-2020,02-04-2020,03-04-2020,04-04-2020,05-04-2020,06-04-2020,07-04-2020,08-04-2020,09-04-2020,10-04-2020,11-04-2020,12-04-2020,13-04-2020,14-04-2020,15-04-2020,16-04-2020,17-04-2020,18-04-2020,19-04-2020,20-04-2020,21-04-2020,22-04-2020,23-04-2020,24-04-2020,25-04-2020,26-04-2020,27-04-2020,28-04-2020,29-04-2020,30-04-2020,01-05-2020,02-05-2020,03-05-2020,04-05-2020,05-05-2020,06-05-2020,07-05-2020,08-05-2020,09-05-2020,10-05-2020,11-05-2020,12-05-2020,13-05-2020,14-05-2020,15-05-2020,16-05-2020,17-05-2020,18-05-2020,19-05-2020,20-05-2020,21-05-2020,22-05-2020,23-05-2020,24-05-2020,25-05-2020,26-05-2020,27-05-2020,28-05-2020,29-05-2020,30-05-2020,31-05-2020,01-06-2020,02-06-2020,03-06-2020,04-06-2020,05-06-2020,06-06-2020,07-06-2020,08-06-2020,09-06-2020,10-06-2020,11-06-2020,12-06-2020,13-06-2020,14-06-2020,15-06-2020,16-06-2020,17-06-2020,18-06-2020,19-06-2020,20-06-2020,21-06-2020,22-06-2020,23-06-2020,24-06-2020,25-06-2020,26-06-2020,27-06-2020,28-06-2020,29-06-2020,30-06-2020,01-07-2020,02-07-2020,03-07-2020,04-07-2020,05-07-2020,06-07-2020,07-07-2020,08-07-2020,09-07-2020,10-07-2020,11-07-2020,12-07-2020,13-07-2020,14-07-2020,15-07-2020,16-07-2020,17-07-2020,18-07-2020,19-07-2020,20-07-2020,21-07-2020,22-07-2020,23-07-2020,24-07-2020,25-07-2020,26-07-2020,27-07-2020,28-07-2020,29-07-2020,30-07-2020,31-07-2020,01-08-2020,02-08-2020,03-08-2020,04-08-2020,05-08-2020,06-08-2020,07-08-2020,08-08-2020,09-08-2020,10-08-2020,11-08-2020,12-08-2020,13-08-2020
Aguascalientes,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,5,6,6,7,8,8,8,8,10,10,10,11,12,14,15,16,18,21,25,28,32,37,42,45,55,64,80,90,100,115,140,159,177,199,223,251,288,316,339,381,417,439,484,512,562,574,604,627,655,685,708,728,751,772,805,851,883,920,949,981,1008,1054,1105,1194,1234,1287,1384,1456,1494,1547,1646,1731,1798,1837,1869,2010,2078,2180,2219,2340,2391,2438,2497,2557,2810,2867,2946,2983,3018,3068,3095,3142,3206,3266,3318,3370,3404,3460,3538,3623,3695,3746,3791,3831,3877,3930,3972,4018,4061,4111,4190,4285,4367,4492,4584,4612,4670,4723,4795,4899,4939,4970,5015,5077,5161,5264,5382,5443,5513,5593,5683,5754,5847,5939,6054,6170,6221,6267,6328,6382,6452,6513,6564,6639,6752,6809,6873,6926,6987,7066,7119,7199,7282,7348,7499,7618,7730,7812,7887,7985,8140,8274,8369,8439,8532,8728,8857,8956,9018,9102,9166,9198,9235,9285,9341,9365,9365,9365,9365
Baja California,3,4,6,7,7,7,10,11,12,13,13,16,17,19,19,19,19,21,21,21,22,22,23,23,23,25,25,27,27,27,28,29,30,30,30,31,31,34,36,42,45,48,50,51,54,59,68,79,95,106,126,134,150,172,201,231,263,304,338,382,430,469,517,542,582,614,640,670,692,719,753,777,807,824,849,880,905,943,993,1023,1051,1093,1138,1169,1195,1239,1276,1308,1367,1402,1445,1486,1519,1554,1592,1638,1667,1700,1747,1801,1829,1879,1932,1993,2029,2077,2147,2198,2261,2327,2388,2430,2468,2522,2559,2598,2666,2734,2802,2902,2997,3075,3178,3274,3328,3393,3451,3522,3600,3673,3825,3913,3980,4026,4124,4180,4245,4350,4429,4530,4606,4683,4761,4844,4952,5050,5117,5188,5260,5354,5430,5520,5619,5664,5748,5818,5874,5938,6004,6081,6199,6272,6357,6413,6470,6559,6619,6704,6755,6836,6890,6968,7044,7102,7154,7218,7276,7334,7412,7510,7575,7647,7707,7767,7827,7895,7960,8006,8058,8104,8139,8219,8264,8313,8353,8381,8400,8410,8422,8431,8434,8434,8434,8434
Baja California Sur,0,0,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,5,6,6,7,8,8,8,8,8,8,8,8,8,9,10,13,14,14,15,15,16,18,20,20,21,21,22,25,26,27,30,32,37,43,46,51,63,70,79,88,96,104,117,135,159,176,184,206,228,243,272,302,335,369,407,444,485,516,547,566,594,622,640,662,685,707,720,739,761,775,787,801,814,830,847,859,875,885,900,910,922,939,954,972,986,1005,1044,1055,1074,1090,1105,1119,1132,1147,1156,1168,1186,1201,1209,1240,1272,1301,1318,1349,1370,1399,1438,1466,1503,1534,1574,1601,1654,1704,1753,1818,1885,1937,1981,2004,2048,2084,2136,2190,2258,2306,2361,2450,2514,2568,2639,2691,2765,2834,2910,2974,3041,3105,3193,3251,3323,3418,3527,3657,3721,3793,3846,3912,4018,4100,4204,4310,4368,4425,4523,4646,4751,4859,4956,5048,5138,5234,5407,5513,5617,5715,5793,5865,5933,6065,6196,6323,6428,6520,6648,6774,6937,7057,7184,7261,7312,7348,7407,7450,7458,7458,7458
Campeche,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,5,5,6,8,8,13,15,18,21,24,29,32,38,44,47,54,58,62,63,67,73,76,83,87,91,98,112,113,140,153,155,164,176,185,205,215,229,233,239,248,278,285,289,300,308,311,332,354,367,378,387,402,412,429,449,457,480,499,521,544,558,590,610,629,653,675,704,727,751,787,819,871,902,945,993,1038,1077,1102,1154,1175,1203,1247,1293,1331,1405,1462,1497,1555,1605,1633,1686,1715,1767,1808,1838,1886,1929,1985,2023,2065,2124,2175,2230,2295,2347,2397,2442,2482,2554,2590,2620,2646,2688,2728,2781,2819,2860,2940,2987,3020,3062,3096,3159,3201,3244,3279,3308,3390,3422,3459,3484,3536,3605,3643,3706,3747,3777,3814,3845,3943,3982,4015,4028,4044,4056,4066,4122,4125,4128,4128,4128,4128
Chiapas,0,0,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,4,4,6,7,7,7,8,9,11,14,15,18,23,28,31,32,41,45,50,58,67,78,84,98,108,118,126,137,145,163,176,188,194,208,214,218,228,236,255,266,278,289,299,312,325,343,356,372,387,403,427,443,456,476,491,505,518,542,561,569,598,628,640,678,703,736,766,786,807,828,862,886,903,933,964,1002,1028,1065,1093,1117,1156,1186,1219,1253,1288,1322,1350,1377,1411,1436,1466,1498,1549,1573,1598,1620,1648,1686,1712,1745,1761,1780,1798,1821,1835,1849,1868,1880,1899,1925,1949,1978,1989,2011,2027,2043,2053,2067,2088,2108,2123,2141,2157,2166,2187,2200,2222,2237,2244,2256,2263,2296,2317,2334,2353,2373,2402,2420,2453,2469,2486,2522,2537,2551,2579,2612,2646,2673,2706,2738,2773,2802,2827,2875,2930,2969,3007,3044,3065,3086,3102,3113,3125,3127,3127,3127
Chihuahua,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,3,3,3,3,5,5,6,8,8,8,8,10,10,14,15,16,17,18,21,23,25,28,34,40,43,46,54,65,71,85,98,115,133,145,152,160,167,180,199,212,233,247,262,287,302,321,343,365,391,414,435,449,466,493,513,546,581,631,670,703,729,772,828,868,929,978,1018,1086,1160,1220,1273,1345,1429,1466,1508,1562,1625,1703,1767,1826,1882,1934,2025,2079,2129,2189,2242,2321,2364,2420,2477,2535,2613,2655,2721,2765,2824,2881,2951,3010,3067,3113,3157,3206,3247,3280,3332,3383,3435,3465,3516,3555,3593,3649,3693,3734,3779,3816,3900,3936,3994,4038,4070,4112,4165,4205,4267,4314,4371,4440,4492,4545,4599,4643,4703,4759,4818,4874,4964,5018,5085,5167,5240,5326,5395,5460,5540,5596,5678,5737,5783,5826,5868,5906,5941,5982,6020,6037,6058,6072,6094,6104,6120,6128,6134,6138,6142,6143,6143,6144,6144,6144,6144
Ciudad de México,8,19,26,35,40,47,52,55,56,60,64,78,87,93,96,99,101,122,129,136,142,150,155,157,162,162,167,169,172,175,182,190,202,212,233,246,259,276,302,317,336,364,381,404,433,472,518,591,657,717,781,867,956,1033,1127,1218,1305,1433,1522,1616,1775,1910,2081,2258,2439,2581,2718,2928,3145,3451,3678,3946,4216,4489,4833,5170,5488,5801,6203,6457,6817,7264,7667,8190,8598,9028,9405,9804,10501,10928,11394,11870,12399,12966,13480,14217,14895,15477,16264,17382,17998,18576,19473,20334,21074,21803,22710,23388,24338,25237,26024,26779,27505,28731,29426,30176,31405,32258,33911,34667,35603,36362,37120,38543,39456,40332,41360,42308,43190,44009,45769,46727,47753,48727,49927,50780,51567,52816,53869,55802,56980,58162,59052,60017,61731,62837,63963,65193,66491,68187,69041,70224,71266,72353,73861,75366,76205,77428,78830,80489,82749,84158,85629,86591,88013,89523,91109,92467,93866,96737,97963,99342,101416,103129,105733,107663,109805,111362,112670,115847,117481,119067,120663,122392,124184,125419,127310,129096,130679,132381,133932,135948,136993,138503,139893,141202,142211,143174,143620,143943,144388,144509,144511,144511
Coahuila,2,2,2,8,11,15,20,24,24,27,29,34,36,38,41,41,43,46,49,51,52,54,54,55,59,61,67,68,69,69,70,71,74,78,81,87,88,88,92,93,96,97,99,99,102,111,117,123,129,134,139,144,152,165,178,197,218,243,269,293,332,367,417,469,547,620,676,752,823,954,1023,1091,1171,1253,1363,1472,1558,1642,1733,1809,1865,1933,2031,2136,2200,2263,2325,2369,2474,2526,2578,2639,2708,2766,2844,2954,3077,3198,3313,3414,3483,3538,3665,3783,3868,3949,4098,4235,4349,4534,4665,4822,4978,5176,5386,5525,5736,5889,6087,6269,6393,6516,6679,6898,7044,7197,7515,7726,8127,8294,8685,8985,9349,9688,9838,10128,10294,10524,10754,10986,11256,11464,11671,11867,12173,12331,12522,12788,12977,13208,13411,13674,13897,14045,14277,14501,14593,14745,14988,15230,15515,15690,15899,16020,16204,16437,16655,16788,16932,17136,17206,17348,17495,17714,17882,18031,18285,18415,18564,18893,19155,19356,19568,19792,19964,20112,20390,20588,20742,20868,21031,21201,21367,21551,21753,21897,22023,22147,22181,22251,22312,22351,22351,22351
Colima,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,3,4,4,4,5,5,5,5,6,8,8,12,14,14,17,17,17,22,25,30,34,37,39,43,45,52,54,59,61,64,65,69,72,75,78,79,83,84,90,92,98,101,103,105,109,114,126,130,136,143,146,151,154,158,163,167,173,181,185,189,193,198,205,213,222,227,235,244,249,258,266,272,279,289,308,325,340,352,369,381,391,399,409,416,429,440,452,464,475,484,493,504,517,536,545,553,567,583,590,601,615,630,638,649,656,665,674,692,711,727,745,756,782,800,807,818,826,835,851,873,891,915,932,952,972,985,1000,1027,1057,1084,1096,1115,1136,1164,1187,1212,1234,1255,1284,1324,1369,1405,1445,1477,1505,1538,1584,1613,1647,1686,1716,1730,1745,1775,1817,1858,1892,1911,1931,1958,1979,1998,2006,2011,2012,2012,2012
Durango,0,0,5,6,7,9,9,9,9,10,11,13,14,14,14,14,20,20,22,22,22,22,24,26,26,26,27,27,27,27,28,30,30,30,30,31,31,33,36,38,40,40,40,44,47,47,50,51,54,55,57,60,63,66,69,72,80,84,89,101,113,121,141,153,157,167,183,200,214,233,258,279,295,304,314,323,334,342,358,360,369,384,402,417,432,446,457,474,500,515,535,586,599,609,641,687,703,725,757,789,839,869,895,931,949,975,1009,1029,1077,1117,1146,1163,1189,1232,1256,1278,1316,1358,1410,1432,1460,1505,1553,1637,1738,1863,1936,2022,2064,2116,2278,2354,2453,2545,2677,2764,2873,2998,3140,3284,3432,3517,3632,3730,3880,4002,4092,4214,4344,4485,4536,4631,4719,4848,4935,5027,5134,5219,5338,5445,5597,5677,5766,5846,5956,6086,6214,6333,6447,6607,6702,6818,6946,7096,7201,7320,7413,7530,7626,7831,7946,8066,8165,8301,8412,8548,8697,8833,8931,9011,9118,9255,9376,9506,9607,9709,9784,9837,9900,9948,9987,9995,10000,10000
