Estado,23-01-2020,24-01-2020,25-01-2020,26-01-2020,27-01-2020,28-01-2020,29-01-2020,30-01-2020,31-01-2020,01-02-2020,02-02-2020,03-02-2020,04-02-2020,05-02-2020,06-02-2020,07-02-2020,08-02-2020,09-02-2020,10-02-2020,11-02-2020,12-02-2020,13-02-2020,14-02-2020,15-02-2020,16-02-2020,17-02-2020,18-02-2020,19-02-2020,20-02-2020,21-02-2020,22-02-2020,23-02-2020,24-02-2020,25-02-2020,26-02-2020,27-02-2020,28-02-2020,29-02-2020,01-03-2020,02-03-2020,03-03-2020,04-03-2020,05-03-2020,06-03-2020,07-03-2020,08-03-2020,09-03-2020,10-03-2020,11-03-2020,12-03-2020,13-03-2020,14-03-2020,15-03-2020,16-03-2020,17-03-2020,18-03-2020,19-03-2020,20-03-2020,21-03-2020,22-03-2020,23-03-2020,24-03-2020,25-03-2020,26-03-2020,27-03-2020,28-03-2020,29-03-2020,30-03-2020,31-03-2020,01-04-2020,02-04-2020,03-04-2020,04-04-2020,05-04-2020,06-04-2020,07-04-2020,08-04-2020,09-04-2020,10-04-2020,11-04-2020,12-04-2020,13-04-2020,14-04-2020,15-04-2020,16-04-2020,17-04-2020,18-04-2020,19-04-2020,20-04-2020,21-04-2020,22-04-2020,23-04-2020,24-04-2020,25-04-2020,26-04-2020,27-04-2020,28-04-2020,29-04-2020,30-04-2020,01-05-2020,02-05-2020,03-05-2020,04-05-2020,05-05-2020,06-05-2020,07-05-2020,08-05-2020,09-05-2020,10-05-2020,11-05-2020,12-05-2020,13-05-2020,14-05-2020,15-05-2020,16-05-2020,17-05-2020,18-05-2020,19-05-2020,20-05-2020,21-05-2020,22-05-2020,23-05-2020,24-05-2020,25-05-2020,26-05-2020,27-05-2020,28-05-2020,29-05-2020,30-05-2020,31-05-2020,01-06-2020,02-06-2020,03-06-2020,04-06-2020,05-06-2020,06-06-2020,07-06-2020,08-06-2020,09-06-2020,10-06-2020,11-06-2020,12-06-2020,13-06-2020,14-06-2020,15-06-2020,16-06-2020,17-06-2020,18-06-2020,19-06-2020,20-06-2020,21-06-2020,22-06-2020,23-06-2020,24-06-2020,25-06-2020,26-06-2020,27-06-2020,28-06-2020,29-06-2020,30-06-2020,01-07-2020,02-07-2020,03-07-2020,04-07-2020,05-07-2020,06-07-2020,07-07-2020,08-07-2020,09-07-2020,10-07-2020,11-07-2020,12-07-2020,13-07-2020,14-07-2020,15-07-2020,16-07-2020,17-07-2020,18-07-2020,19-07-2020,20-07-2020,21-07-2020,22-07-2020,23-07-2020,24-07-2020,25-07-2020,26-07-2020,27-07-2020,28-07-2020,29-07-2020,30-07-2020,31-07-2020,01-08-2020,02-08-2020,03-08-2020,04-08-2020,05-08-2020,06-08-2020,07-08-2020,08-08-2020,09-08-2020,10-08-2020,11-08-2020,12-08-2020,13-08-2020,14-08-2020,15-08-2020,16-08-2020,17-08-2020,18-08-2020,19-08-2020,20-08-2020,21-08-2020,22-08-2020,23-08-2020,24-08-2020,25-08-2020,26-08-2020,27-08-2020,28-08-2020,29-08-2020,30-08-2020,31-08-2020,01-09-2020,02-09-2020,03-09-2020,04-09-2020,05-09-2020,06-09-2020,07-09-2020,08-09-2020,09-09-2020,10-09-2020,11-09-2020,12-09-2020,13-09-2020,14-09-2020,15-09-2020,16-09-2020,17-09-2020,18-09-2020,19-09-2020,20-09-2020,21-09-2020,22-09-2020,23-09-2020,24-09-2020,25-09-2020,26-09-2020,27-09-2020,28-09-2020,29-09-2020,30-09-2020,01-10-2020,02-10-2020,03-10-2020,04-10-2020,05-10-2020,06-10-2020,07-10-2020,08-10-2020,09-10-2020,10-10-2020,11-10-2020,12-10-2020,13-10-2020,14-10-2020,15-10-2020,16-10-2020,17-10-2020,18-10-2020,19-10-2020,20-10-2020,21-10-2020,22-10-2020,23-10-2020,24-10-2020,25-10-2020,26-10-2020,27-10-2020,28-10-2020,29-10-2020,30-10-2020,31-10-2020,01-11-2020,02-11-2020,03-11-2020,04-11-2020,05-11-2020,06-11-2020,07-11-2020,08-11-2020,09-11-2020,10-11-2020,11-11-2020,12-11-2020,13-11-2020,14-11-2020,15-11-2020,16-11-2020,17-11-2020,18-11-2020,19-11-2020,20-11-2020,21-11-2020,22-11-2020,23-11-2020,24-11-2020,25-11-2020,26-11-2020,27-11-2020,28-11-2020,29-11-2020,30-11-2020,01-12-2020,02-12-2020,03-12-2020,04-12-2020,05-12-2020,06-12-2020,07-12-2020,08-12-2020,09-12-2020,10-12-2020,11-12-2020,12-12-2020,13-12-2020,14-12-2020,15-12-2020,16-12-2020,17-12-2020,18-12-2020,19-12-2020,20-12-2020,21-12-2020,22-12-2020,23-12-2020,24-12-2020,25-12-2020,26-12-2020,27-12-2020,28-12-2020,29-12-2020,30-12-2020,31-12-2020,01-01-2021,02-01-2021,03-01-2021,04-01-2021,05-01-2021,06-01-2021,07-01-2021,08-01-2021,09-01-2021,10-01-2021,11-01-2021,12-01-2021,13-01-2021,14-01-2021,15-01-2021,16-01-2021,17-01-2021,18-01-2021,19-01-2021,20-01-2021,21-01-2021,22-01-2021,23-01-2021,24-01-2021,25-01-2021,26-01-2021,27-01-2021,28-01-2021,29-01-2021,30-01-2021,31-01-2021,01-02-2021,02-02-2021,03-02-2021,04-02-2021,05-02-2021,06-02-2021,07-02-2021,08-02-2021,09-02-2021,10-02-2021,11-02-2021,12-02-2021,13-02-2021,14-02-2021,15-02-2021,16-02-2021,17-02-2021,18-02-2021
Aguascalientes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,3,3,4,7,8,10,11,12,16,16,33,37,43,48,51,55,56,56,57,59,59,61,66,67,68,68,71,72,74,81,83,95,102,120,133,136,153,166,177,199,210,212,219,238,270,288,315,319,322,326,376,388,405,429,444,444,448,459,503,516,539,568,571,578,616,638,665,695,719,736,745,785,825,859,904,945,960,981,1046,1103,1164,1208,1270,1292,1322,1397,1463,1525,1590,1654,1688,1711,1792,1853,1927,1992,2064,2079,2105,2173,2226,2276,2344,2401,2419,2432,2469,2508,2587,2659,2728,2739,2747,2842,2964,3019,3065,3143,3162,3209,3291,3375,3458,3544,3620,3643,3658,3709,3807,3858,3938,4012,4030,4051,4121,4184,4244,4303,4366,4404,4423,4484,4556,4606,4648,4694,4718,4738,4819,4869,4928,4993,5048,5068,5102,5194,5273,5339,5395,5462,5502,5538,5605,5676,5773,5836,5905,5947,5969,6061,6120,6196,6272,6319,6338,6361,6436,6489,6551,6608,6658,6672,6684,6752,6769,6791,6894,6950,6977,7004,7089,7152,7231,7306,7359,7382,7397,7493,7587,7671,7723,7796,7809,7826,7931,8024,8094,8169,8248,8266,8292,8411,8501,8594,8691,8788,8809,8841,8996,9110,9222,9336,9476,9520,9553,9716,9910,10083,10247,10420,10459,10486,10716,10893,11020,11132,11304,11333,11372,11516,11630,11824,12039,12191,12228,12261,12304,12570,12840,13082,13302,13356,13405,13665,13922,14125,14312,14472,14526,14564,14762,14948,15147,15295,15418,15451,15500,15640,15766,15896,15999,16095,16114,16137,16249,16372,16461,16561,16668,16688,16708,16832,16955,17031,17100,17108,17125,17152,17286,17403,17513,17578,17595,17624,17661,17778,17908,18046,18192,18342,18386,18417,18610,18806,18953,19110,19256,19285,19317,19527,19735,19955,20171,20329,20370,20400,20662,20847,20992,21123,21240,21260,21295,21335,21510,21646,21763,21854,21873,21905,22044,22128,22220,22303,22360,22372,22385,22472,22539,22594,22595
Baja California,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,2,2,3,6,10,15,21,24,26,36,45,52,63,79,86,107,135,179,245,275,313,338,358,426,467,525,582,631,663,706,788,892,992,1075,1175,1223,1267,1378,1484,1576,1688,1772,1816,1883,1992,2090,2198,2287,2380,2458,2547,2692,2832,2947,3070,3211,3284,3352,3481,3606,3735,3850,3996,4067,4140,4355,4513,4685,4916,5123,5189,5269,5402,5537,5663,5781,5897,5978,6048,6191,6360,6522,6674,6822,6924,6993,7162,7337,7488,7632,7743,7829,7922,8104,8289,8439,8587,8756,8844,8904,9111,9307,9483,9654,9828,9940,10003,10204,10406,10589,10782,10948,11022,11118,11333,11542,11754,11920,12054,12116,12194,12362,12540,12721,12878,13023,13108,13202,13363,13505,13648,13772,13910,13989,14052,14204,14338,14462,14595,14749,14817,14880,15028,15176,15292,15405,15519,15582,15628,15796,15912,16023,16136,16233,16273,16323,16488,16612,16734,16870,16968,17014,17061,17209,17316,17411,17525,17635,17672,17707,17897,18079,18235,18397,18522,18585,18619,18776,18897,19008,19113,19218,19255,19285,19399,19451,19483,19603,19702,19738,19775,19873,19976,20080,20157,20238,20265,20293,20401,20497,20623,20730,20813,20860,20891,21032,21170,21299,21389,21461,21501,21539,21669,21801,21933,22055,22145,22192,22236,22384,22524,22664,22792,22938,22983,23021,23176,23295,23411,23497,23588,23641,23685,23833,23965,24109,24207,24323,24384,24431,24582,24680,24799,24893,24991,25055,25113,25186,25375,25597,25812,26019,26146,26248,26577,26890,27208,27507,27776,27894,28006,28331,28702,28997,29281,29549,29705,29819,30163,30527,30842,31164,31471,31619,31745,32084,32419,32737,33031,33246,33346,33474,33850,34155,34403,34570,34660,34792,34916,35271,35580,35808,35994,36103,36221,36350,36714,37095,37428,37768,38051,38162,38258,38619,38912,39217,39490,39740,39828,39903,40213,40426,40632,40851,41053,41128,41190,41384,41613,41786,41960,42090,42143,42190,42245,42423,42559,42691,42793,42827,42867,43008,43106,43194,43297,43374,43398,43419,43507,43555,43580,43580
Baja California Sur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,4,4,8,10,10,12,16,20,21,35,42,47,58,74,79,84,107,131,155,177,186,193,198,213,230,235,244,250,253,261,268,281,286,295,308,313,319,329,333,337,350,352,360,365,371,383,393,404,413,419,429,435,450,461,469,474,478,481,491,505,521,530,545,552,561,578,592,612,629,651,664,672,708,725,741,763,785,799,820,873,911,958,987,1012,1034,1055,1106,1136,1183,1232,1251,1285,1303,1335,1380,1434,1488,1529,1574,1608,1674,1732,1804,1873,1936,1991,2040,2130,2241,2332,2459,2575,2613,2661,2789,2908,3040,3157,3247,3309,3348,3505,3614,3729,3872,3979,4045,4084,4257,4412,4529,4684,4785,4852,4893,5054,5201,5351,5473,5584,5665,5708,5848,5970,6096,6238,6369,6424,6471,6613,6751,6849,6885,6964,7039,7088,7230,7329,7435,7556,7625,7677,7739,7868,7985,8117,8230,8332,8390,8429,8565,8691,8795,8879,8972,9037,9064,9163,9254,9309,9399,9513,9577,9596,9703,9787,9869,9952,10044,10101,10120,10215,10312,10391,10475,10546,10588,10616,10716,10797,10865,10954,11048,11096,11118,11230,11323,11399,11493,11612,11669,11696,11809,11902,12005,12086,12183,12241,12260,12374,12470,12557,12642,12708,12741,12766,12852,12922,13002,13076,13134,13163,13187,13301,13386,13462,13555,13616,13646,13664,13695,13783,13873,13965,14037,14076,14106,14205,14308,14395,14491,14566,14612,14643,14758,14882,14989,15080,15180,15226,15248,15358,15476,15574,15713,15831,15906,15933,16084,16239,16370,16512,16630,16697,16722,16854,16995,17120,17227,17244,17336,17378,17563,17772,17986,18134,18169,18288,18336,18549,18828,19094,19366,19624,19731,19794,20053,20303,20521,20749,20932,21043,21110,21343,21615,21847,22069,22332,22448,22502,22785,23033,23247,23435,23600,23666,23708,23769,24008,24225,24411,24566,24630,24670,24846,25011,25122,25234,25329,25372,25398,25476,25536,25580,25580
Campeche,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,5,5,6,6,6,7,9,10,10,13,16,16,16,18,20,38,43,47,53,57,62,65,73,76,86,96,105,111,119,127,137,143,149,159,168,176,186,199,225,237,260,274,288,302,311,337,363,381,399,417,432,447,465,486,511,530,557,574,590,623,659,692,720,740,759,765,804,828,847,886,928,954,977,1025,1087,1160,1235,1271,1298,1319,1417,1502,1612,1699,1800,1854,1895,1998,2093,2179,2269,2369,2420,2470,2540,2631,2701,2796,2857,2886,2922,3003,3094,3187,3285,3392,3449,3510,3631,3708,3823,3937,4042,4090,4146,4268,4374,4471,4558,4645,4681,4706,4776,4862,4931,4996,5056,5101,5134,5188,5255,5305,5351,5379,5401,5417,5458,5485,5521,5557,5571,5585,5599,5629,5672,5704,5728,5790,5803,5815,5847,5874,5894,5917,5962,5969,5979,6013,6029,6058,6080,6096,6099,6108,6126,6137,6149,6160,6193,6205,6212,6225,6229,6232,6241,6283,6286,6292,6314,6321,6335,6351,6368,6378,6384,6398,6412,6425,6439,6460,6460,6465,6483,6490,6504,6511,6530,6532,6534,6547,6560,6574,6586,6608,6614,6617,6635,6645,6650,6666,6676,6678,6682,6713,6726,6743,6749,6767,6769,6769,6778,6783,6804,6811,6816,6823,6829,6841,6847,6858,6870,6889,6892,6898,6902,6914,6936,6941,6961,6963,6969,6992,7005,7031,7054,7066,7069,7070,7089,7103,7119,7135,7156,7162,7166,7185,7198,7219,7224,7253,7259,7263,7297,7315,7349,7365,7389,7391,7398,7419,7429,7460,7481,7485,7496,7500,7532,7545,7560,7578,7584,7590,7595,7633,7662,7694,7715,7760,7770,7775,7809,7829,7868,7898,7928,7935,7944,7967,7996,8032,8067,8109,8126,8139,8182,8209,8240,8267,8312,8322,8330,8335,8366,8394,8405,8426,8429,8432,8461,8474,8494,8505,8521,8532,8538,8552,8559,8563,8563
Chiapas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,5,5,7,7,12,13,13,15,17,21,24,29,30,31,36,38,43,46,49,49,49,54,58,63,66,75,79,86,96,103,114,129,142,152,163,184,193,211,224,242,252,265,295,321,354,387,421,444,464,497,540,611,675,751,788,821,913,975,1048,1150,1248,1300,1347,1488,1619,1744,1879,1999,2069,2138,2275,2417,2530,2639,2767,2835,2906,3046,3172,3277,3365,3469,3534,3595,3684,3773,3879,3971,4052,4101,4138,4228,4311,4403,4490,4570,4609,4654,4719,4767,4825,4877,4933,4967,4989,5029,5068,5099,5127,5165,5180,5201,5282,5383,5432,5489,5529,5551,5614,5666,5695,5745,5772,5820,5836,5859,5901,5940,5968,5989,6026,6049,6067,6095,6130,6176,6209,6225,6236,6250,6277,6297,6313,6346,6365,6373,6383,6407,6426,6445,6473,6508,6521,6528,6539,6561,6577,6587,6593,6598,6604,6621,6642,6654,6665,6679,6686,6693,6710,6724,6739,6761,6770,6779,6783,6800,6812,6814,6830,6843,6850,6854,6873,6886,6899,6910,6915,6924,6936,6952,6967,6977,6992,7003,7006,7007,7021,7030,7039,7048,7056,7063,7067,7083,7090,7096,7109,7113,7116,7117,7132,7136,7143,7152,7157,7160,7163,7169,7178,7182,7189,7190,7191,7192,7196,7198,7201,7205,7208,7209,7211,7217,7223,7239,7256,7260,7263,7264,7268,7283,7298,7309,7320,7320,7324,7339,7346,7352,7363,7372,7374,7378,7392,7412,7426,7444,7468,7475,7478,7496,7517,7535,7559,7583,7585,7598,7630,7648,7678,7707,7726,7737,7744,7777,7803,7829,7843,7847,7857,7869,7887,7905,7934,7949,7959,7975,7990,8018,8063,8102,8160,8205,8226,8252,8317,8371,8416,8456,8498,8512,8538,8583,8616,8651,8680,8709,8717,8731,8784,8830,8874,8916,8969,9000,9024,9043,9079,9106,9116,9135,9141,9148,9167,9194,9217,9244,9268,9269,9272,9287,9295,9297,9297
Chihuahua,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,4,7,9,10,10,11,14,17,19,21,26,31,37,45,54,59,69,83,97,106,118,129,141,158,169,192,212,235,267,290,315,342,387,429,475,535,588,631,661,719,778,851,927,985,1036,1069,1134,1225,1302,1377,1442,1490,1542,1621,1687,1772,1852,1930,1989,2045,2136,2214,2300,2411,2490,2565,2598,2700,2775,2846,2907,2997,3025,3065,3149,3235,3298,3348,3428,3472,3500,3578,3639,3711,3779,3831,3857,3880,3938,4023,4081,4147,4213,4252,4278,4336,4396,4464,4518,4602,4638,4661,4744,4835,4943,5036,5115,5151,5192,5285,5378,5478,5558,5690,5749,5783,5913,6014,6133,6241,6336,6385,6428,6546,6656,6788,6917,7027,7080,7129,7234,7352,7469,7591,7678,7751,7792,7900,8026,8142,8243,8358,8432,8476,8572,8701,8797,8916,9028,9091,9130,9235,9338,9453,9568,9674,9730,9767,9889,10029,10211,10338,10440,10507,10555,10693,10872,11018,11130,11223,11275,11317,11459,11580,11708,11812,11928,11986,12006,12129,12252,12327,12442,12606,12669,12733,12916,13069,13209,13329,13476,13532,13587,13776,14000,14197,14404,14647,14748,14834,15180,15524,15875,16280,16727,17055,17233,17656,18345,19098,19719,20345,20790,21038,21812,22685,23321,23948,24508,24823,25096,25791,26409,26879,27335,27832,28061,28300,28666,29118,29595,30031,30388,30565,30720,31104,31485,31837,32255,32578,32758,32861,33038,33412,33718,34010,34335,34470,34554,34782,35029,35251,35468,35633,35720,35794,35964,36133,36262,36371,36470,36520,36560,36664,36795,36934,37040,37115,37179,37211,37309,37407,37527,37627,37711,37757,37816,37886,37985,38078,38134,38171,38221,38249,38344,38433,38504,38555,38599,38650,38700,38814,38927,39050,39178,39275,39342,39380,39497,39618,39736,39823,39907,39962,39999,40149,40280,40415,40520,40602,40642,40676,40792,40899,41002,41099,41161,41196,41227,41262,41355,41452,41519,41588,41611,41633,41721,41801,41862,41922,41964,41976,41995,42017,42063,42104,42104
Ciudad de México,2,2,3,6,6,8,8,8,9,9,10,10,11,11,11,12,13,13,15,15,15,16,16,16,16,16,16,17,19,20,20,22,25,25,27,32,33,34,35,35,36,38,40,41,43,47,49,53,75,97,124,150,167,195,235,273,359,412,438,468,523,608,664,748,823,904,959,1050,1120,1214,1315,1428,1501,1584,1767,1946,2113,2284,2482,2638,2791,3132,3476,3787,4131,4526,4791,5048,5614,6155,6663,7143,7816,8177,8498,9162,9876,10586,11278,11776,12191,12574,13520,14274,15143,16087,17107,17647,18136,19226,20315,21526,22560,23787,24585,25084,26518,27823,29185,30472,31717,32354,32801,34122,35299,36494,37567,38685,39390,39899,41195,42368,43606,44768,45957,46613,47105,48354,49620,50827,51917,53062,53599,54053,55269,56537,57742,58948,60149,60730,61102,62213,63291,64252,65277,66421,66895,67289,68496,69599,70853,71946,73044,73557,73881,75100,76275,77426,78320,79373,79892,80225,81514,82630,84053,85399,86756,87550,87914,89295,90669,92080,93380,94655,95369,95717,97024,98322,99585,100855,101984,102654,103001,104044,105294,106530,107649,108825,109436,109699,110817,112011,113218,114395,115615,116236,116489,117697,119089,120390,121564,122859,123481,123836,125120,126425,128019,129467,130954,131809,132130,133422,135094,136823,138412,139896,140719,141071,142260,143884,145407,146864,148261,149122,149442,150625,151590,151897,153408,154770,155537,155898,157027,158496,159902,161259,162603,163455,163828,165147,166547,167940,169313,170530,171181,171490,172685,174086,175514,176883,178262,178942,179287,180741,182325,183754,185299,187066,187865,188263,190358,192623,194608,196694,198866,199794,200218,202479,204695,206926,208934,210767,211577,211978,212719,215179,217435,219625,221642,222625,223078,225772,228460,230917,233262,235578,236679,237212,237762,240660,243165,245474,247898,249316,249859,253129,256540,259685,262933,266430,268332,269004,273227,277763,282714,287694,292960,296065,296967,303029,308939,314677,320465,326255,329535,330369,336657,343006,349052,355144,361549,364918,365864,372224,378385,384267,389344,390067,392218,393417,400100,406869,413128,418555,419334,421371,422629,429839,437315,444489,451997,459286,463596,465081,473146,480823,488362,495609,502585,506668,507904,515170,522167,528529,534755,540838,544084,545241,551528,557926,563307,568308,572937,575514,576434,577630,582406,586580,590536,594245,596244,596826,600907,604131,607296,610039,612913,614624,615055,617799,620269,621944,621953
Coahuila,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,6,9,13,13,13,14,20,20,23,27,31,39,56,70,91,114,139,150,154,179,187,206,212,226,236,243,257,273,289,295,306,314,323,332,354,368,378,391,394,398,422,441,454,474,488,495,500,526,558,592,617,636,646,661,692,723,741,782,822,843,855,928,979,1024,1092,1137,1177,1195,1253,1311,1386,1444,1540,1581,1617,1719,1799,1871,1950,2039,2081,2127,2276,2401,2524,2650,2785,2843,2887,3052,3240,3425,3642,3856,3979,4043,4323,4666,4914,5117,5368,5546,5656,5994,6299,6619,6867,7197,7393,7534,7840,8201,8522,8835,9123,9246,9335,9738,10106,10406,10707,11014,11181,11281,11585,11904,12204,12535,12872,13054,13164,13594,13990,14320,14661,14912,15138,15202,15543,15950,16317,16677,17017,17226,17312,17698,18082,18376,18679,18981,19195,19326,19606,19896,20207,20499,20890,21049,21152,21464,21739,22066,22334,22590,22719,22772,23005,23236,23432,23611,23796,23890,23980,24177,24385,24541,24685,24821,24887,24956,25132,25251,25344,25534,25681,25768,25813,26021,26196,26372,26538,26698,26830,26890,27080,27318,27533,27725,27921,28046,28149,28402,28713,28957,29189,29414,29573,29680,29976,30326,30595,30881,31162,31337,31473,31871,32282,32686,33118,33525,33760,33920,34293,34665,34998,35373,35687,35865,35968,36287,36705,37039,37386,37737,37944,38078,38472,38948,39393,39774,40106,40319,40444,40628,41005,41379,41674,41998,42184,42303,42599,42930,43236,43528,43850,43974,44095,44379,44712,44987,45297,45594,45714,45794,46060,46384,46657,46948,47198,47345,47436,47758,48095,48421,48767,49004,49156,49279,49578,49931,50226,50439,50491,50641,50782,51093,51440,51757,52027,52100,52277,52449,52854,53256,53661,54152,54588,54746,54879,55224,55673,56012,56394,56766,56907,57077,57483,57943,58306,58706,59065,59205,59322,59678,60115,60432,60797,61090,61203,61283,61365,61638,61869,62091,62296,62345,62385,62609,62837,62992,63135,63261,63294,63318,63396,63528,63580,63580
Colima,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3,4,5,7,7,7,7,7,7,7,7,7,7,7,9,9,9,10,12,14,15,16,17,18,19,22,24,25,25,27,27,27,30,30,30,32,33,37,38,40,42,45,46,48,55,59,71,74,76,81,88,96,104,108,116,120,126,133,140,145,150,157,163,169,181,194,205,214,226,237,241,255,271,283,300,315,326,334,349,375,392,410,438,448,465,486,512,533,559,590,607,622,642,665,701,719,753,766,781,814,851,887,925,984,1012,1036,1098,1158,1208,1282,1334,1378,1417,1482,1548,1630,1704,1770,1813,1855,1909,1983,2039,2106,2149,2176,2212,2292,2368,2435,2501,2559,2596,2633,2706,2781,2862,2932,3013,3058,3103,3178,3242,3319,3404,3476,3522,3566,3645,3729,3803,3864,3924,3960,3991,4076,4129,4179,4215,4259,4282,4306,4360,4411,4442,4485,4538,4559,4587,4635,4683,4708,4754,4822,4861,4898,4955,5029,5089,5157,5207,5244,5270,5344,5417,5491,5545,5601,5638,5660,5718,5783,5840,5916,5992,6026,6055,6103,6158,6207,6256,6331,6365,6393,6433,6485,6527,6562,6597,6618,6636,6676,6726,6767,6800,6836,6856,6874,6904,6932,6967,6998,7022,7041,7053,7083,7113,7145,7154,7166,7170,7177,7185,7218,7254,7278,7292,7307,7314,7339,7362,7383,7405,7426,7441,7457,7480,7504,7529,7555,7571,7587,7598,7622,7640,7663,7682,7700,7718,7734,7757,7765,7796,7820,7836,7854,7870,7902,7930,7958,7987,8000,8030,8057,8096,8137,8170,8207,8228,8247,8299,8338,8378,8420,8490,8565,8609,8653,8729,8792,8855,8905,8959,9001,9037,9099,9176,9265,9338,9407,9437,9475,9534,9576,9637,9689,9752,9776,9788,9803,9862,9928,9968,10027,10055,10070,10122,10184,10217,10239,10267,10292,10305,10340,10369,10376,10376
Durango,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,3,3,4,5,5,5,6,6,7,8,9,9,9,9,9,11,13,14,14,15,16,16,17,17,18,18,18,18,18,18,18,20,22,22,24,34,38,43,45,47,49,54,61,66,68,76,78,84,89,96,99,103,108,118,128,131,134,140,150,160,165,178,178,186,194,199,219,238,261,263,277,302,321,344,366,398,435,448,487,525,559,602,681,701,717,781,855,906,968,1018,1034,1054,1133,1230,1297,1366,1417,1429,1445,1516,1616,1704,1774,1872,1925,1961,2017,2109,2218,2279,2355,2373,2393,2466,2534,2611,2725,2793,2821,2843,2941,3029,3113,3197,3278,3306,3319,3433,3555,3644,3731,3810,3827,3865,3973,4070,4161,4240,4333,4369,4388,4496,4575,4663,4770,4838,4862,4883,4984,5109,5200,5303,5394,5411,5431,5552,5665,5735,5843,5944,5979,6005,6140,6248,6368,6474,6586,6606,6631,6772,6917,7092,7202,7312,7338,7373,7501,7613,7718,7817,7930,7949,7971,8071,8148,8163,8274,8394,8414,8443,8595,8706,8816,8916,9027,9041,9064,9185,9296,9426,9541,9660,9675,9697,9863,10013,10215,10392,10571,10596,10630,10914,11141,11338,11599,11822,11878,11927,12259,12595,12956,13280,13592,13686,13771,14144,14573,14929,15221,15512,15580,15638,15888,16223,16613,16903,17174,17236,17306,17648,17954,18240,18553,18849,18979,19019,19143,19531,19860,20150,20452,20515,20582,20945,21284,21516,21817,22101,22143,22216,22488,22745,22988,23180,23350,23365,23392,23573,23779,23930,24071,24215,24244,24269,24444,24614,24743,24871,25005,25024,25038,25170,25310,25424,25486,25493,25515,25537,25676,25841,25979,26062,26070,26088,26103,26256,26425,26580,26755,26893,26926,26958,27119,27334,27475,27636,27754,27792,27818,27958,28112,28253,28378,28504,28528,28548,28698,28856,28969,29070,29147,29157,29186,29195,29340,29469,29554,29625,29641,29657,29768,29850,29936,29991,30037,30054,30097,30178,30216,30262,30262
