Estado,23-01-2020,24-01-2020,25-01-2020,26-01-2020,27-01-2020,28-01-2020,29-01-2020,30-01-2020,31-01-2020,01-02-2020,02-02-2020,03-02-2020,04-02-2020,05-02-2020,06-02-2020,07-02-2020,08-02-2020,09-02-2020,10-02-2020,11-02-2020,12-02-2020,13-02-2020,14-02-2020,15-02-2020,16-02-2020,17-02-2020,18-02-2020,19-02-2020,20-02-2020,21-02-2020,22-02-2020,23-02-2020,24-02-2020,25-02-2020,26-02-2020,27-02-2020,28-02-2020,29-02-2020,01-03-2020,02-03-2020,03-03-2020,04-03-2020,05-03-2020,06-03-2020,07-03-2020,08-03-2020,09-03-2020,10-03-2020,11-03-2020,12-03-2020,13-03-2020,14-03-2020,15-03-2020,16-03-2020,17-03-2020,18-03-2020,19-03-2020,20-03-2020,21-03-2020,22-03-2020,23-03-2020,24-03-2020,25-03-2020,26-03-2020,27-03-2020,28-03-2020,29-03-2020,30-03-2020,31-03-2020,01-04-2020,02-04-2020,03-04-2020,04-04-2020,05-04-2020,06-04-2020,07-04-2020,08-04-2020,09-04-2020,10-04-2020,11-04-2020,12-04-2020,13-04-2020,14-04-2020,15-04-2020,16-04-2020,17-04-2020,18-04-2020,19-04-2020,20-04-2020,21-04-2020,22-04-2020,23-04-2020,24-04-2020,25-04-2020,26-04-2020,27-04-2020,28-04-2020,29-04-2020,30-04-2020,01-05-2020,02-05-2020,03-05-2020,04-05-2020,05-05-2020,06-05-2020,07-05-2020,08-05-2020,09-05-2020,10-05-2020,11-05-2020,12-05-2020,13-05-2020,14-05-2020,15-05-2020,16-05-2020,17-05-2020,18-05-2020,19-05-2020,20-05-2020,21-05-2020,22-05-2020,23-05-2020,24-05-2020,25-05-2020,26-05-2020,27-05-2020,28-05-2020,29-05-2020,30-05-2020,31-05-2020,01-06-2020,02-06-2020,03-06-2020,04-06-2020,05-06-2020,06-06-2020,07-06-2020,08-06-2020,09-06-2020,10-06-2020,11-06-2020,12-06-2020,13-06-2020,14-06-2020,15-06-2020,16-06-2020,17-06-2020,18-06-2020,19-06-2020,20-06-2020,21-06-2020,22-06-2020,23-06-2020,24-06-2020,25-06-2020,26-06-2020,27-06-2020,28-06-2020,29-06-2020,30-06-2020,01-07-2020,02-07-2020,03-07-2020,04-07-2020,05-07-2020,06-07-2020,07-07-2020,08-07-2020,09-07-2020,10-07-2020,11-07-2020,12-07-2020,13-07-2020,14-07-2020,15-07-2020,16-07-2020,17-07-2020,18-07-2020,19-07-2020,20-07-2020,21-07-2020,22-07-2020,23-07-2020,24-07-2020,25-07-2020,26-07-2020,27-07-2020,28-07-2020,29-07-2020,30-07-2020,31-07-2020,01-08-2020,02-08-2020,03-08-2020,04-08-2020,05-08-2020,06-08-2020,07-08-2020,08-08-2020,09-08-2020,10-08-2020,11-08-2020,12-08-2020,13-08-2020,14-08-2020,15-08-2020,16-08-2020,17-08-2020,18-08-2020,19-08-2020,20-08-2020,21-08-2020,22-08-2020,23-08-2020,24-08-2020,25-08-2020,26-08-2020,27-08-2020,28-08-2020,29-08-2020,30-08-2020,31-08-2020,01-09-2020,02-09-2020,03-09-2020,04-09-2020,05-09-2020,06-09-2020,07-09-2020,08-09-2020,09-09-2020,10-09-2020,11-09-2020,12-09-2020,13-09-2020,14-09-2020,15-09-2020,16-09-2020,17-09-2020,18-09-2020,19-09-2020,20-09-2020,21-09-2020,22-09-2020,23-09-2020,24-09-2020,25-09-2020,26-09-2020,27-09-2020,28-09-2020,29-09-2020,30-09-2020,01-10-2020,02-10-2020,03-10-2020,04-10-2020,05-10-2020,06-10-2020,07-10-2020,08-10-2020,09-10-2020,10-10-2020,11-10-2020,12-10-2020,13-10-2020,14-10-2020,15-10-2020,16-10-2020,17-10-2020,18-10-2020,19-10-2020,20-10-2020,21-10-2020,22-10-2020,23-10-2020,24-10-2020,25-10-2020,26-10-2020,27-10-2020,28-10-2020,29-10-2020,30-10-2020,31-10-2020,01-11-2020,02-11-2020,03-11-2020,04-11-2020,05-11-2020,06-11-2020,07-11-2020,08-11-2020,09-11-2020,10-11-2020,11-11-2020,12-11-2020,13-11-2020,14-11-2020,15-11-2020,16-11-2020,17-11-2020,18-11-2020,19-11-2020,20-11-2020,21-11-2020,22-11-2020,23-11-2020,24-11-2020,25-11-2020,26-11-2020,27-11-2020,28-11-2020,29-11-2020,30-11-2020,01-12-2020,02-12-2020,03-12-2020,04-12-2020,05-12-2020,06-12-2020,07-12-2020,08-12-2020,09-12-2020,10-12-2020,11-12-2020,12-12-2020,13-12-2020,14-12-2020,15-12-2020,16-12-2020,17-12-2020,18-12-2020,19-12-2020,20-12-2020,21-12-2020,22-12-2020,23-12-2020,24-12-2020,25-12-2020,26-12-2020,27-12-2020,28-12-2020,29-12-2020,30-12-2020,31-12-2020,01-01-2021,02-01-2021,03-01-2021,04-01-2021,05-01-2021,06-01-2021,07-01-2021,08-01-2021,09-01-2021,10-01-2021,11-01-2021,12-01-2021,13-01-2021,14-01-2021,15-01-2021,16-01-2021,17-01-2021,18-01-2021,19-01-2021,20-01-2021,21-01-2021,22-01-2021,23-01-2021,24-01-2021,25-01-2021,26-01-2021,27-01-2021,28-01-2021,29-01-2021,30-01-2021,31-01-2021,01-02-2021,02-02-2021,03-02-2021,04-02-2021
Aguascalientes,11,17,19,21,30,34,37,45,49,49,51,54,61,78,84,89,90,93,103,107,121,127,133,136,137,147,159,169,182,187,187,188,195,206,215,220,232,233,239,249,258,267,274,279,279,281,285,289,295,309,316,317,327,335,348,376,402,421,436,458,485,525,554,590,630,648,678,716,744,786,827,866,897,909,949,983,1015,1017,1031,1053,1066,1110,1151,1211,1245,1265,1283,1309,1392,1452,1498,1589,1678,1684,1707,1788,1871,1981,2106,2124,2141,2275,2367,2443,2516,2666,2702,2741,2781,2909,3114,3171,3234,3262,3298,3329,3369,3422,3494,3563,3605,3650,3682,3719,3793,3903,3948,3971,4027,4113,4162,4211,4289,4332,4363,4434,4525,4567,4658,4773,4839,4881,4942,4970,5106,5171,5194,5220,5249,5270,5332,5386,5463,5534,5587,5631,5663,5689,5801,5959,6022,6051,6086,6091,6106,6222,6360,6510,6689,6754,6785,6847,6934,7043,7173,7249,7301,7314,7378,7482,7541,7648,7720,7740,7757,7950,8194,8439,8557,8622,8687,8742,8833,9086,9202,9332,9403,9469,9522,9629,9889,10036,10209,10293,10362,10425,10561,10718,10816,10968,11024,11065,11151,11312,11435,11555,11713,11773,11815,11910,12129,12213,12410,12517,12586,12629,12708,12783,12979,13272,13440,13492,13534,13658,13785,13881,13971,14053,14091,14127,14202,14306,14412,14491,14550,14617,14682,14747,14808,15037,15332,15615,15728,15796,15949,16099,16266,16522,16723,16833,16962,17054,17224,17366,17547,17636,17719,17779,17849,18009,18357,18543,18730,18920,19025,19046,19216,19566,19836,20112,20303,20417,20445,20462,20672,20896,21117,21473,21729,21756,21885,22115,22251,22500,22716,22925,22959,23041,23132,23354,23586,23803,23953,23986,24064,24241,24469,24689,24907,25024,25131,25215,25400,25599,25905,26191,26423,26555,26577,26762,27031,27272,27525,27683,27702,27898,28192,28567,28819,29106,29406,29578,29604,29881,30039,30150,30207,30220,30238,30267,30473,30625,30774,30905,31003,31072,31147,31340,31612,31883,32186,32391,32428,32487,32788,33153,33497,33766,34022,34049,34087,34405,34708,34985,35236,35503,35579,35626,35945,36301,36675,37014,37227,37251,37284,37578,37756,37823,37823
Baja California,9,16,18,19,29,37,43,44,47,49,53,57,60,68,71,76,78,81,86,91,97,101,106,109,113,125,131,137,140,144,148,154,158,162,167,169,173,176,181,187,194,202,202,204,208,208,217,222,226,234,252,259,264,274,288,315,338,375,397,411,474,522,579,633,689,718,737,785,826,862,896,921,936,944,975,1005,1031,1057,1092,1107,1118,1150,1192,1231,1274,1316,1330,1343,1392,1450,1495,1534,1570,1590,1602,1656,1703,1759,1826,1862,1878,1905,1953,1987,2040,2096,2151,2178,2230,2314,2406,2458,2522,2611,2628,2640,2705,2748,2800,2885,2984,3040,3081,3160,3284,3368,3456,3521,3562,3601,3748,3857,3952,4055,4129,4156,4184,4278,4366,4449,4542,4625,4681,4727,4812,4921,5017,5125,5217,5245,5275,5378,5511,5592,5690,5818,5869,5892,5972,6055,6176,6260,6358,6400,6427,6502,6575,6677,6789,6851,6887,6938,7037,7120,7202,7265,7340,7367,7390,7477,7575,7670,7761,7849,7882,7904,8006,8101,8184,8332,8477,8513,8532,8601,8688,8751,8835,8893,8930,8957,9032,9128,9184,9263,9332,9359,9380,9455,9516,9588,9648,9690,9705,9723,9798,9878,9988,10101,10191,10215,10230,10320,10396,10452,10524,10592,10617,10641,10726,10812,10908,10983,11057,11070,11099,11210,11264,11293,11422,11537,11568,11584,11717,11852,12061,12191,12294,12309,12332,12479,12683,12856,13049,13215,13253,13288,13469,13644,13832,13961,14072,14104,14141,14291,14463,14609,14743,14900,14927,14965,15135,15276,15426,15570,15674,15702,15719,15831,15969,16091,16189,16287,16318,16346,16445,16557,16632,16718,16781,16804,16822,16881,16959,17020,17099,17175,17213,17243,17269,17371,17466,17581,17742,17804,17844,17974,18144,18332,18492,18668,18711,18747,18911,19106,19276,19484,19667,19713,19740,19900,20165,20352,20521,20622,20681,20718,20863,21017,21206,21332,21443,21485,21515,21646,21815,21957,22028,22043,22077,22120,22255,22446,22562,22661,22688,22745,22801,23040,23430,23810,24216,24582,24685,24733,25248,25695,26098,26490,26867,26944,26986,27389,27788,28184,28689,29008,29062,29089,29457,29852,30262,30574,30879,30925,30959,31008,31343,31625,31625
Baja California Sur,1,7,9,12,20,30,37,45,47,51,57,60,66,70,76,81,89,89,92,103,111,124,130,133,137,142,150,158,164,166,167,171,177,183,188,192,198,200,206,216,222,237,248,252,256,260,266,273,280,284,294,297,303,307,316,331,340,354,366,371,393,408,432,448,468,475,485,514,545,573,601,627,648,661,719,753,798,839,857,876,888,931,963,1000,1023,1040,1052,1060,1080,1108,1120,1129,1140,1147,1166,1179,1198,1220,1241,1253,1255,1260,1283,1298,1323,1346,1376,1391,1396,1419,1448,1457,1468,1490,1499,1503,1509,1525,1543,1573,1608,1634,1647,1683,1718,1747,1777,1811,1842,1895,1937,1980,2014,2065,2147,2199,2218,2260,2305,2333,2397,2489,2521,2552,2601,2680,2764,2834,2894,2914,2936,3038,3141,3219,3308,3352,3410,3444,3531,3610,3716,3836,3926,3990,4051,4144,4224,4317,4435,4540,4583,4604,4710,4826,4960,5062,5213,5258,5273,5390,5545,5687,5822,5952,5993,6022,6131,6273,6384,6539,6666,6700,6733,6895,7071,7183,7365,7494,7556,7585,7712,7815,7932,8093,8248,8307,8323,8435,8573,8690,8715,8785,8881,8896,8983,9102,9247,9365,9466,9502,9551,9675,9773,9953,10209,10426,10480,10512,10671,10847,11033,11173,11361,11425,11478,11855,12086,12215,12639,12908,12980,13007,13186,13400,13617,13811,14010,14058,14094,14327,14486,14762,14957,15181,15253,15290,15434,15598,15826,16060,16200,16241,16266,16447,16627,16836,17033,17233,17310,17360,17544,17747,18006,18273,18548,18618,18644,18848,19211,19521,19815,20109,20166,20208,20427,20794,21155,21493,21821,21899,21928,22179,22467,22772,23024,23221,23274,23303,23341,23588,23781,24015,24260,24384,24405,24662,25081,25280,25512,25718,25786,25818,26034,26243,26449,26686,26945,26995,27029,27337,27577,27818,28062,28420,28501,28539,28985,29434,29862,30183,30401,30468,30496,30900,31281,31539,31723,31740,31806,31848,32098,32445,32664,32819,32832,32902,32942,33160,33498,33797,34160,34525,34642,34679,35004,35491,35869,36266,36559,36670,36736,37045,37582,37963,38300,38682,38780,38831,39066,39466,39802,40131,40365,40414,40440,40476,40665,40700,40700
Campeche,0,0,0,0,1,2,2,4,4,4,4,4,4,4,5,5,5,5,5,6,8,9,9,9,9,9,10,11,12,12,12,12,12,16,17,18,18,18,18,18,20,21,21,21,21,23,23,24,24,25,25,25,26,27,27,32,32,35,36,38,40,44,46,49,54,55,60,66,72,74,81,86,88,89,94,99,105,106,109,114,137,155,165,171,179,184,192,197,220,232,237,246,274,284,292,304,314,321,332,341,349,357,375,383,398,408,417,442,449,467,480,494,515,544,576,581,597,614,629,648,681,702,717,739,780,826,852,930,945,954,999,1071,1101,1124,1169,1194,1244,1273,1393,1431,1504,1549,1554,1565,1615,1675,1721,1758,1807,1830,1846,1892,1934,1967,2034,2087,2103,2116,2172,2273,2331,2392,2453,2463,2473,2537,2578,2607,2674,2715,2737,2751,2800,2857,2935,2985,3038,3065,3093,3172,3233,3288,3343,3384,3416,3428,3474,3552,3581,3646,3675,3728,3735,3810,3869,3921,4020,4042,4101,4116,4158,4208,4245,4307,4347,4392,4411,4502,4624,4759,4815,4938,4987,5004,5067,5177,5242,5305,5400,5449,5455,5544,5598,5690,5751,5872,5892,5897,5963,6026,6107,6162,6299,6305,6315,6384,6421,6436,6491,6643,6653,6661,6711,6775,6833,6941,7044,7058,7067,7159,7259,7336,7412,7473,7487,7492,7527,7574,7659,7710,7744,7750,7761,7822,7865,7913,7970,8133,8143,8163,8193,8248,8346,8401,8442,8446,8454,8550,8596,8680,8761,8847,8859,8867,8884,8925,9042,9166,9218,9227,9237,9296,9327,9376,9410,9479,9529,9538,9550,9595,9726,9753,9801,9808,9818,9861,9920,10036,10163,10293,10302,10312,10414,10448,10539,10636,10707,10750,10771,10880,10957,11049,11087,11213,11227,11235,11291,11416,11487,11628,11686,11702,11710,11827,11884,12015,12076,12085,12106,12117,12187,12325,12434,12459,12465,12477,12487,12550,12600,12683,12767,12858,12879,12889,12999,13078,13325,13496,13678,13697,13715,13827,13957,14144,14249,14435,14452,14463,14538,14632,14760,14819,14974,14992,14993,15001,15044,15049,15049
Chiapas,3,3,3,3,4,6,6,8,8,9,9,10,11,11,13,14,15,16,17,18,20,21,21,21,22,23,25,25,28,28,28,28,28,30,31,35,38,38,39,40,42,44,45,47,47,48,51,54,56,60,65,69,70,75,79,83,89,95,101,104,109,122,135,148,166,174,184,197,219,237,254,267,278,283,293,302,318,322,329,335,340,353,373,387,396,411,422,428,446,478,491,513,534,553,567,581,602,613,627,647,655,665,714,752,774,795,825,847,855,889,909,929,959,1000,1032,1041,1076,1113,1140,1182,1215,1233,1248,1280,1321,1349,1392,1421,1440,1465,1512,1547,1583,1613,1650,1671,1687,1711,1742,1777,1809,1845,1859,1867,1884,1895,1921,1941,1957,1968,1979,2008,2034,2061,2087,2106,2115,2119,2138,2155,2178,2199,2218,2232,2241,2264,2283,2298,2307,2331,2345,2353,2384,2407,2431,2453,2477,2483,2494,2522,2543,2559,2577,2636,2645,2651,2674,2717,2756,2811,2854,2862,2877,2890,2941,3001,3058,3105,3113,3119,3174,3229,3271,3327,3370,3387,3417,3459,3506,3549,3580,3640,3669,3689,3736,3784,3825,3877,3919,3939,3955,3995,4034,4070,4104,4132,4153,4158,4198,4245,4291,4338,4384,4403,4419,4453,4486,4506,4556,4612,4643,4656,4701,4737,4770,4840,4884,4896,4913,4956,4989,5013,5054,5086,5092,5101,5133,5169,5211,5254,5281,5286,5292,5313,5354,5392,5419,5451,5465,5478,5511,5546,5574,5615,5643,5661,5674,5720,5757,5780,5809,5842,5855,5864,5880,5910,5955,5995,6032,6038,6049,6091,6131,6167,6226,6267,6280,6286,6304,6368,6411,6483,6525,6540,6555,6623,6707,6779,6863,6945,6952,6966,7003,7070,7120,7157,7190,7202,7217,7277,7340,7388,7432,7469,7486,7504,7575,7633,7719,7773,7811,7834,7850,7900,7953,8004,8039,8039,8060,8073,8119,8193,8253,8291,8295,8326,8340,8406,8472,8545,8625,8708,8720,8752,8869,8996,9078,9161,9265,9344,9360,9455,9555,9624,9708,9794,9815,9839,9897,9994,10107,10249,10363,10387,10398,10402,10436,10450,10450
Chihuahua,8,12,16,20,29,42,51,58,60,63,71,74,90,92,101,105,106,107,120,125,132,133,133,133,139,146,152,154,159,159,161,163,168,172,175,178,183,184,184,185,187,188,189,189,191,191,194,197,199,204,205,207,208,208,216,218,226,235,238,244,251,260,280,296,311,317,324,340,355,368,383,394,402,409,429,444,464,482,495,513,528,561,581,611,639,657,672,688,730,765,797,838,880,907,924,983,1035,1079,1126,1164,1203,1223,1293,1381,1465,1540,1594,1636,1666,1739,1812,1885,1967,2052,2100,2140,2228,2304,2369,2441,2498,2538,2568,2648,2710,2817,2891,2963,2987,3013,3099,3170,3234,3287,3345,3370,3391,3453,3512,3579,3633,3684,3701,3725,3789,3854,3917,3970,4016,4056,4076,4131,4195,4257,4317,4410,4424,4458,4536,4616,4687,4733,4789,4820,4844,4934,5006,5086,5140,5218,5260,5291,5381,5470,5575,5674,5787,5821,5859,5955,6069,6169,6266,6358,6381,6405,6506,6592,6687,6762,6838,6876,6900,6985,7089,7206,7293,7401,7457,7479,7610,7727,7844,7959,8048,8100,8136,8260,8391,8517,8640,8758,8793,8829,8945,9093,9199,9295,9403,9458,9492,9619,9790,9931,10022,10148,10196,10213,10361,10474,10597,10725,10849,10886,10908,11048,11129,11179,11272,11396,11448,11486,11639,11785,11926,12084,12211,12273,12323,12484,12645,12816,12979,13159,13228,13278,13448,13646,13867,14088,14272,14408,14483,14672,14929,15202,15454,15736,15858,15944,16206,16491,16779,17052,17251,17369,17471,17717,17928,18109,18255,18393,18474,18515,18645,18808,18978,19121,19274,19343,19387,19591,19777,19926,20126,20309,20404,20450,20514,20691,20879,21036,21215,21287,21329,21512,21687,21858,22021,22149,22204,22231,22344,22474,22617,22730,22826,22876,22915,23016,23109,23226,23347,23430,23474,23498,23612,23699,23799,23873,23942,24013,24033,24138,24238,24326,24372,24388,24439,24465,24582,24706,24787,24825,24850,24887,24943,25050,25161,25295,25420,25535,25595,25635,25794,25907,26030,26149,26241,26270,26303,26455,26604,26798,26937,27043,27078,27121,27224,27341,27492,27630,27709,27722,27743,27754,27809,27877,27877
Ciudad de México,37,69,83,108,140,169,198,232,249,260,273,294,329,366,397,428,440,457,501,536,565,595,620,633,654,684,708,722,748,771,780,787,815,850,876,906,942,956,974,1023,1061,1099,1134,1174,1185,1205,1252,1306,1376,1450,1529,1583,1628,1690,1832,1953,2093,2199,2243,2270,2393,2582,2767,2924,3154,3235,3313,3475,3628,3795,4024,4306,4411,4478,4740,5143,5592,5921,6287,6419,6538,7039,7589,8071,8525,9127,9268,9421,9968,10509,11037,11466,12023,12240,12445,13089,13833,14660,15676,16028,16307,16636,17638,18401,19481,20384,21484,21855,22096,23006,23979,24983,26006,27050,27463,27727,28842,29953,31186,32296,33540,34018,34373,35634,36795,38079,39086,40149,40725,41041,42264,43463,44823,46144,47512,47994,48277,49636,50945,52296,53761,55291,55912,56377,58047,59628,61252,62736,64224,64837,65224,66499,68004,69407,70957,72497,73046,73499,75348,76972,78728,80306,82195,82811,83315,85201,87028,88880,90696,92598,93273,93693,95603,97619,100402,103044,105894,107117,107584,109989,112240,114584,116793,119243,120244,120709,122700,125001,127352,129695,131885,133083,133551,135356,137714,139978,142127,144508,145616,145992,148038,150509,152945,155536,158187,159338,159753,161716,164205,166689,168737,171347,172475,172944,175107,177208,180545,183984,187548,189531,189968,192323,195549,198955,202597,206100,207847,208327,210791,213920,217337,221205,224540,226118,226544,229166,231202,231569,234274,237239,238571,238997,241114,243992,246680,249383,252342,253739,254097,256416,259152,261829,264461,267280,268539,268921,270971,273969,277099,279893,282773,283917,284396,286985,290307,293534,296298,299944,301484,302014,306179,310806,315706,320824,325990,327683,328309,333306,338954,344505,349876,354221,355614,356004,357029,361310,365797,369992,374139,375588,376001,380452,385019,389514,393599,398110,399706,400182,400703,405697,409797,413628,418169,420862,421385,427014,433750,440617,447663,454653,458123,458957,467938,478202,489593,501481,513857,520228,521343,533131,544438,556498,569174,581310,586624,587411,599226,610543,621894,633842,647401,654675,655606,668825,682186,695624,706263,707210,710690,711993,726859,741457,756041,767463,768468,772225,773707,787243,800773,813602,827518,839638,846372,848119,861488,874786,888485,902839,916720,924455,926304,940606,955228,969324,983413,997896,1004990,1006969,1020624,1034537,1048457,1061438,1073741,1079686,1081093,1083511,1093681,1100102,1100118
Coahuila,11,21,25,36,58,75,90,112,127,133,141,148,164,176,188,202,205,212,234,261,274,287,299,304,308,323,348,360,368,374,374,381,395,408,418,431,440,447,456,464,478,485,493,497,500,505,511,525,532,541,548,550,557,568,587,607,619,634,648,663,679,710,763,796,855,878,914,980,1032,1077,1166,1272,1332,1406,1538,1659,1770,1841,1948,1999,2026,2128,2239,2324,2461,2568,2603,2618,2719,2794,2878,2946,3058,3096,3133,3223,3304,3421,3566,3660,3697,3749,3869,4003,4070,4191,4359,4439,4461,4633,4811,4976,5134,5319,5418,5471,5728,5896,6107,6292,6488,6598,6663,6849,7032,7212,7384,7618,7785,7883,8190,8530,8912,9245,9660,9884,9957,10239,10608,10933,11180,11596,11712,11786,12050,12333,12584,12803,13055,13216,13257,13472,13824,14050,14407,14689,14734,14770,14997,15224,15508,15775,16090,16218,16303,16551,16840,16983,17138,17374,17451,17499,17674,17876,18014,18163,18477,18592,18643,18828,19114,19349,19594,19860,19918,19959,20196,20479,20695,20940,21192,21273,21306,21518,21814,22115,22368,22621,22734,22791,23044,23339,23624,23917,24265,24434,24511,24793,25146,25389,25707,26092,26307,26395,26714,27118,27367,27763,28162,28326,28411,28751,29134,29460,29843,30209,30330,30402,30762,31159,31461,31778,32136,32254,32315,32593,32892,32962,33228,33547,33677,33724,34024,34380,34703,35012,35347,35541,35631,35929,36226,36516,36828,37105,37214,37274,37521,37837,38102,38368,38637,38768,38843,39086,39420,39693,39956,40179,40248,40337,40612,40936,41224,41502,41751,41874,41950,42230,42573,42908,43235,43534,43671,43772,44010,44309,44614,44980,45240,45362,45441,45779,46113,46396,46728,47002,47136,47207,47292,47565,47871,48183,48502,48664,48755,49021,49305,49580,49884,50119,50239,50315,50510,50764,50968,51158,51333,51418,51476,51659,51871,52038,52237,52437,52519,52578,52773,52998,53153,53337,53542,53626,53687,53900,54116,54301,54447,54480,54583,54669,54863,55098,55294,55440,55475,55558,55616,55805,56041,56262,56535,56864,57003,57097,57462,57795,58108,58404,58722,58875,58997,59378,59778,60224,60660,61034,61198,61325,61699,62243,62692,63141,63575,63684,63769,63880,64241,64549,64549
Colima,0,0,0,0,2,2,2,4,5,5,6,9,13,14,14,14,14,14,16,17,22,23,24,24,24,24,27,29,31,32,32,32,32,32,34,35,40,42,47,49,54,54,56,57,58,59,64,65,73,78,83,85,87,89,93,98,106,109,111,113,119,132,139,143,145,146,149,153,158,166,168,173,173,176,178,181,187,188,189,195,197,201,204,213,216,219,220,227,235,241,247,253,255,255,259,264,268,280,285,287,294,302,309,311,326,335,341,345,351,356,365,372,383,398,405,420,437,451,464,476,489,494,503,516,526,534,550,556,565,573,591,598,609,629,646,657,660,675,686,701,719,732,737,744,755,763,776,795,817,825,832,853,874,889,899,916,922,938,952,973,994,1020,1033,1044,1054,1085,1110,1137,1161,1176,1191,1207,1244,1265,1302,1333,1351,1376,1396,1452,1486,1526,1574,1607,1634,1648,1705,1742,1778,1808,1839,1853,1873,1912,1946,1978,2018,2057,2070,2090,2138,2189,2219,2280,2320,2339,2351,2420,2467,2504,2544,2590,2608,2620,2662,2692,2732,2761,2794,2821,2845,2885,2916,2942,2970,3000,3016,3030,3064,3084,3111,3132,3157,3169,3179,3221,3251,3259,3287,3311,3320,3331,3350,3384,3421,3453,3492,3502,3513,3549,3601,3641,3678,3714,3731,3743,3789,3827,3873,3919,3963,3979,3998,4039,4098,4156,4209,4248,4269,4281,4330,4395,4452,4528,4586,4605,4622,4671,4728,4793,4854,4924,4936,4952,5008,5070,5133,5195,5250,5280,5296,5353,5408,5457,5507,5552,5573,5593,5612,5668,5723,5766,5816,5839,5861,5921,5975,6016,6068,6120,6146,6172,6234,6290,6356,6419,6467,6515,6527,6592,6654,6704,6748,6800,6820,6842,6905,6953,7007,7053,7093,7117,7138,7201,7233,7277,7310,7316,7326,7346,7400,7465,7527,7557,7579,7605,7643,7717,7774,7848,7920,7984,8031,8078,8173,8262,8332,8382,8446,8486,8518,8599,8683,8756,8841,8917,8936,8958,9028,9088,9135,9181,9213,9242,9248,9263,9274,9276,9276
Durango,2,4,10,15,24,33,36,40,44,44,45,51,55,64,69,74,78,84,98,100,112,116,122,122,124,127,135,139,146,153,155,157,161,167,168,170,173,175,179,184,190,195,201,206,206,208,218,221,224,228,232,234,235,236,244,249,256,257,259,260,268,282,291,310,338,341,344,351,362,377,409,427,453,465,486,504,518,523,530,530,533,545,563,578,595,607,612,620,639,671,683,734,756,765,773,785,809,843,886,895,972,997,1026,1056,1090,1112,1158,1166,1170,1204,1240,1271,1297,1357,1372,1379,1404,1438,1482,1550,1595,1604,1614,1668,1714,1768,1882,1990,2046,2060,2130,2238,2342,2430,2565,2588,2612,2739,2892,3016,3198,3396,3460,3485,3673,3839,3933,4081,4258,4285,4308,4400,4502,4639,4770,4943,5031,5053,5134,5252,5347,5506,5619,5651,5673,5812,5945,6072,6193,6349,6393,6422,6592,6742,6883,7071,7216,7259,7268,7427,7580,7719,7885,8027,8051,8085,8276,8449,8621,8767,8906,8954,8986,9152,9287,9422,9565,9686,9721,9747,9911,10074,10221,10373,10506,10529,10561,10702,10873,11043,11198,11366,11394,11418,11568,11757,11945,12108,12245,12271,12290,12449,12570,12771,12937,13112,13149,13184,13363,13532,13733,13900,14055,14089,14104,14262,14383,14394,14542,14688,14709,14729,14899,15040,15217,15365,15513,15544,15573,15739,15915,16088,16232,16392,16444,16461,16638,16824,16994,17172,17363,17410,17429,17629,17853,18088,18340,18554,18595,18621,18829,18999,19218,19446,19636,19680,19721,19956,20210,20422,20619,20831,20859,20896,21055,21288,21487,21680,21875,21887,21931,22099,22258,22419,22590,22783,22810,22820,22865,23084,23309,23466,23680,23716,23761,23959,24185,24372,24543,24774,24793,24833,25023,25218,25369,25568,25687,25712,25733,25874,26016,26149,26281,26388,26403,26416,26576,26744,26881,27007,27130,27151,27162,27308,27448,27587,27650,27656,27670,27681,27817,27974,28137,28248,28249,28273,28291,28401,28594,28781,28919,29097,29129,29148,29319,29584,29765,29963,30145,30174,30195,30391,30614,30787,30972,31185,31201,31219,31440,31681,31930,32145,32294,32302,32324,32327,32489,32661,32662
