Estado,02-04-2020,03-04-2020,04-04-2020
Aguascalientes,323,346,368
Baja California,284,302,333
Baja California Sur,137,153,169
Campeche,21,22,37
Coahuila,281,316,330
Colima,32,38,38
Chiapas,92,103,104
Chihuahua,56,58,66
Ciudad de México,863,972,1123
Durango,72,86,90
Guanajuato,676,764,852
Guerrero,91,117,131
Hidalgo,183,198,208
Jalisco,725,840,920
México,554,617,642
Michoacán,155,168,192
Morelos,100,105,106
Nayarit,44,49,66
Nuevo León,747,755,801
Oaxaca,128,136,166
Puebla,319,327,329
Queretaro,199,220,226
Quintana Roo,172,185,198
San Luis Potosí,305,313,364
Sinaloa,187,190,223
Sonora,145,158,196
Tabasco,212,243,273
Tamaulipas,87,106,125
Tlaxcala,119,135,151
Veracruz,207,237,249
Yucatán,178,202,242
Zacatecas,128,141,149
