Estado,23-01-2020,24-01-2020,25-01-2020,26-01-2020,27-01-2020,28-01-2020,29-01-2020,30-01-2020,31-01-2020,01-02-2020,02-02-2020,03-02-2020,04-02-2020,05-02-2020,06-02-2020,07-02-2020,08-02-2020,09-02-2020,10-02-2020,11-02-2020,12-02-2020,13-02-2020,14-02-2020,15-02-2020,16-02-2020,17-02-2020,18-02-2020,19-02-2020,20-02-2020,21-02-2020,22-02-2020,23-02-2020,24-02-2020,25-02-2020,26-02-2020,27-02-2020,28-02-2020,29-02-2020,01-03-2020,02-03-2020,03-03-2020,04-03-2020,05-03-2020,06-03-2020,07-03-2020,08-03-2020,09-03-2020,10-03-2020,11-03-2020,12-03-2020,13-03-2020,14-03-2020,15-03-2020,16-03-2020,17-03-2020,18-03-2020,19-03-2020,20-03-2020,21-03-2020,22-03-2020,23-03-2020,24-03-2020,25-03-2020,26-03-2020,27-03-2020,28-03-2020,29-03-2020,30-03-2020,31-03-2020,01-04-2020,02-04-2020,03-04-2020,04-04-2020,05-04-2020,06-04-2020,07-04-2020,08-04-2020,09-04-2020,10-04-2020,11-04-2020,12-04-2020,13-04-2020,14-04-2020,15-04-2020,16-04-2020,17-04-2020,18-04-2020,19-04-2020,20-04-2020,21-04-2020,22-04-2020,23-04-2020,24-04-2020,25-04-2020,26-04-2020,27-04-2020,28-04-2020,29-04-2020,30-04-2020,01-05-2020,02-05-2020,03-05-2020,04-05-2020,05-05-2020,06-05-2020,07-05-2020,08-05-2020,09-05-2020,10-05-2020,11-05-2020,12-05-2020,13-05-2020,14-05-2020,15-05-2020,16-05-2020,17-05-2020,18-05-2020,19-05-2020,20-05-2020,21-05-2020,22-05-2020,23-05-2020,24-05-2020,25-05-2020,26-05-2020,27-05-2020,28-05-2020,29-05-2020,30-05-2020,31-05-2020,01-06-2020,02-06-2020,03-06-2020,04-06-2020,05-06-2020,06-06-2020,07-06-2020,08-06-2020,09-06-2020,10-06-2020,11-06-2020,12-06-2020,13-06-2020,14-06-2020,15-06-2020,16-06-2020,17-06-2020,18-06-2020,19-06-2020,20-06-2020,21-06-2020,22-06-2020,23-06-2020,24-06-2020,25-06-2020,26-06-2020
Aguascalientes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,5,5,5,5,5,5,5,5,5,5,6,6,7,7,7,7,8,9,11,12,12,12,13,13,13,13,13,14,15,15,16,16,17,18,18,19,20,20,21,21,21,21,21,22,22,24,24,25,25,25,25,26,26,26,26,26,26,26,26,27,27,28,28
Baja California,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,5,10,12,13,13,13,13,16,17,20,23,28,31,36,37,37,40,42,43,44,45,50,53,58,60,62,65,68,76,78,82,89,97,108,110,113,118,126,130,136,142,149,155,162,165,175,177,183,194,199,205,209,213,218,223,230,240,252,256,257,268,274,282,292,298,303,306,312,315,323,327,332,335,344,349,350,351,355,362,369,370,376,377,379,385,390,390,390
Baja California Sur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,3,3,3,3,4,5,6,7,7,7,9,9,9,9,10,11,11,11,11,11,11,11,11,11,12,12,14,14,15,16,16,16,16,16,16,16,17,17,17,17,18,18,18,18,18,18,18,18,18,21,21,21,21,22,22,23,23,24,25,25,25,25,27,27,28,30,31,31,32,34,34,34,37,37,37,37,37,37,38,38,38,38,38,38,38
Campeche,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,3,3,3,3,3,3,3,3,3,6,8,8,8,8,8,8,8,8,8,8,8,9,10,11,14,14,14,14,14,14,15,16,18,19,19,19,22,23,24,24,25,26,26,29,30,30,32,33,33,33,33,36,36,36,38,38,38,39,40,40,40,41,41,41,41,42,42,42,43,43,43,44,44,45,46,46,46,46
Chiapas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,5,5,5,6,6,6,6,6,7,7,7,8,8,9,9,9,10,11,11,12,12,12,13,15,15,15,15,17,18,19,20,20,20,20,20,22,22,23,23,23,24,24,24,25,26,27,27,28,30,31,31,33,34,36,36,36,37,38,39,40,44,47,48,48,50,51,51,53,55,59,60,63,66,66,66,68,68,70,70,71,71,72,72,72,72,72
Chihuahua,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,5,8,11,11,12,13,14,17,20,21,25,28,29,30,34,37,39,39,43,47,51,54,58,60,67,70,78,81,82,83,87,89,91,96,100,106,109,112,118,120,124,129,133,135,138,143,148,150,154,163,171,178,181,189,190,196,199,203,207,211,219,224,229,234,237,238,240,248,253,259,263,265,267,271,273,281,284,287,290,292,294,299,301,302,304,304
Ciudad de México,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,2,3,6,12,15,16,18,20,25,29,33,39,44,50,61,68,76,89,100,111,115,123,129,133,141,152,163,174,186,192,204,216,231,243,258,273,283,299,319,333,350,373,393,410,434,461,481,506,528,552,567,594,609,626,656,682,702,720,740,751,772,784,798,811,829,842,857,869,886,901,912,928,951,974,989,1006,1026,1034,1048,1055,1076,1092,1113,1124,1135,1142,1151,1169,1177,1185,1186
Coahuila,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,8,10,11,11,11,12,15,16,17,20,21,28,30,34,34,37,40,43,43,47,49,53,57,60,65,66,68,71,71,76,81,81,81,85,88,90,91,93,93,95,97,99,102,104,105,108,110,111,111,115,117,119,121,124,125,126,127,131,135,135,137,137,138,140,142,143,143,147,149,152,153,155,157,160,165,165,167,173,177,177,178,180,181,183,184,185,185,185,185
Colima,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,3,3,3,4,5,6,6,6,6,6,6,6,6,7,8,8,9,9,9,9,9,10,10,10,11,11,11,11,11,12,14,15,16,17,17,18,20,21,24,25,25,26,28,29,29,29,29,29,30,30,30,31,32,32,33,33,34,35,35,35,35,35,36,36,37,37,39,40,41,41,41,41,41,43,43,43
Durango,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,3,3,4,5,5,5,6,6,6,6,6,7,7,7,7,7,7,8,8,8,8,8,8,8,9,9,9,10,11,13,13,16,18,18,19,20,21,21,22,22,22,22,22,24,25,27,28,29,29,31,32,32,32,32,32,33,34,34,36,37,39,39,41,41,42,42,42,42,42,44,47,47,47,47,47,47,48,49,49,49,49
