Estado,23-01-2020,24-01-2020,25-01-2020,26-01-2020,27-01-2020,28-01-2020,29-01-2020,30-01-2020,31-01-2020,01-02-2020,02-02-2020,03-02-2020,04-02-2020,05-02-2020,06-02-2020,07-02-2020,08-02-2020,09-02-2020,10-02-2020,11-02-2020,12-02-2020,13-02-2020,14-02-2020,15-02-2020,16-02-2020,17-02-2020,18-02-2020,19-02-2020,20-02-2020,21-02-2020,22-02-2020,23-02-2020,24-02-2020,25-02-2020,26-02-2020,27-02-2020,28-02-2020,29-02-2020,01-03-2020,02-03-2020,03-03-2020,04-03-2020,05-03-2020,06-03-2020,07-03-2020,08-03-2020,09-03-2020,10-03-2020,11-03-2020,12-03-2020,13-03-2020,14-03-2020,15-03-2020,16-03-2020,17-03-2020,18-03-2020,19-03-2020,20-03-2020,21-03-2020,22-03-2020,23-03-2020,24-03-2020,25-03-2020,26-03-2020,27-03-2020,28-03-2020,29-03-2020,30-03-2020,31-03-2020,01-04-2020,02-04-2020,03-04-2020,04-04-2020,05-04-2020,06-04-2020,07-04-2020,08-04-2020,09-04-2020,10-04-2020,11-04-2020,12-04-2020,13-04-2020,14-04-2020,15-04-2020,16-04-2020,17-04-2020,18-04-2020,19-04-2020,20-04-2020,21-04-2020,22-04-2020,23-04-2020,24-04-2020,25-04-2020,26-04-2020,27-04-2020,28-04-2020,29-04-2020,30-04-2020,01-05-2020,02-05-2020,03-05-2020,04-05-2020,05-05-2020,06-05-2020,07-05-2020,08-05-2020,09-05-2020,10-05-2020,11-05-2020,12-05-2020,13-05-2020,14-05-2020,15-05-2020,16-05-2020,17-05-2020,18-05-2020,19-05-2020,20-05-2020,21-05-2020,22-05-2020,23-05-2020,24-05-2020,25-05-2020,26-05-2020,27-05-2020,28-05-2020,29-05-2020,30-05-2020,31-05-2020,01-06-2020,02-06-2020,03-06-2020,04-06-2020,05-06-2020,06-06-2020,07-06-2020,08-06-2020,09-06-2020,10-06-2020,11-06-2020,12-06-2020,13-06-2020,14-06-2020,15-06-2020,16-06-2020,17-06-2020,18-06-2020,19-06-2020,20-06-2020,21-06-2020,22-06-2020,23-06-2020,24-06-2020,25-06-2020,26-06-2020,27-06-2020,28-06-2020,29-06-2020,30-06-2020,01-07-2020,02-07-2020,03-07-2020,04-07-2020,05-07-2020,06-07-2020,07-07-2020,08-07-2020,09-07-2020,10-07-2020,11-07-2020,12-07-2020,13-07-2020,14-07-2020,15-07-2020,16-07-2020,17-07-2020,18-07-2020,19-07-2020,20-07-2020,21-07-2020,22-07-2020,23-07-2020,24-07-2020,25-07-2020,26-07-2020,27-07-2020,28-07-2020,29-07-2020,30-07-2020,31-07-2020,01-08-2020,02-08-2020,03-08-2020,04-08-2020,05-08-2020,06-08-2020,07-08-2020,08-08-2020,09-08-2020,10-08-2020,11-08-2020,12-08-2020,13-08-2020,14-08-2020,15-08-2020,16-08-2020,17-08-2020,18-08-2020,19-08-2020,20-08-2020,21-08-2020,22-08-2020,23-08-2020,24-08-2020,25-08-2020,26-08-2020,27-08-2020,28-08-2020,29-08-2020,30-08-2020,31-08-2020,01-09-2020,02-09-2020,03-09-2020,04-09-2020,05-09-2020,06-09-2020,07-09-2020,08-09-2020,09-09-2020,10-09-2020,11-09-2020,12-09-2020,13-09-2020,14-09-2020,15-09-2020,16-09-2020,17-09-2020,18-09-2020,19-09-2020,20-09-2020,21-09-2020,22-09-2020,23-09-2020,24-09-2020,25-09-2020,26-09-2020,27-09-2020,28-09-2020,29-09-2020,30-09-2020,01-10-2020,02-10-2020,03-10-2020,04-10-2020,05-10-2020,06-10-2020,07-10-2020,08-10-2020,09-10-2020,10-10-2020,11-10-2020,12-10-2020,13-10-2020,14-10-2020,15-10-2020,16-10-2020,17-10-2020,18-10-2020,19-10-2020,20-10-2020,21-10-2020,22-10-2020,23-10-2020,24-10-2020,25-10-2020,26-10-2020,27-10-2020,28-10-2020,29-10-2020,30-10-2020,31-10-2020,01-11-2020,02-11-2020,03-11-2020,04-11-2020,05-11-2020,06-11-2020,07-11-2020,08-11-2020,09-11-2020,10-11-2020,11-11-2020,12-11-2020,13-11-2020,14-11-2020,15-11-2020,16-11-2020,17-11-2020,18-11-2020,19-11-2020,20-11-2020,21-11-2020,22-11-2020,23-11-2020,24-11-2020,25-11-2020,26-11-2020,27-11-2020,28-11-2020,29-11-2020,30-11-2020,01-12-2020,02-12-2020,03-12-2020,04-12-2020,05-12-2020,06-12-2020,07-12-2020,08-12-2020,09-12-2020,10-12-2020,11-12-2020,12-12-2020,13-12-2020,14-12-2020,15-12-2020,16-12-2020,17-12-2020,18-12-2020,19-12-2020,20-12-2020,21-12-2020,22-12-2020,23-12-2020,24-12-2020,25-12-2020,26-12-2020,27-12-2020,28-12-2020,29-12-2020,30-12-2020,31-12-2020,01-01-2021,02-01-2021,03-01-2021,04-01-2021,05-01-2021,06-01-2021,07-01-2021,08-01-2021,09-01-2021,10-01-2021,11-01-2021,12-01-2021,13-01-2021,14-01-2021,15-01-2021,16-01-2021,17-01-2021,18-01-2021,19-01-2021,20-01-2021,21-01-2021,22-01-2021,23-01-2021,24-01-2021,25-01-2021,26-01-2021,27-01-2021,28-01-2021,29-01-2021,30-01-2021,31-01-2021,01-02-2021,02-02-2021,03-02-2021,04-02-2021,05-02-2021,06-02-2021,07-02-2021,08-02-2021,09-02-2021,10-02-2021,11-02-2021,12-02-2021,13-02-2021,14-02-2021,15-02-2021,16-02-2021
Aguascalientes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,5,6,6,8,8,10,11,11,12,12,12,13,15,15,15,16,16,16,17,18,18,19,25,25,25,26,26,30,33,33,36,36,38,40,41,43,44,44,50,51,53,58,64,68,72,75,80,88,92,94,98,103,106,110,111,114,117,122,129,132,137,145,153,156,165,169,173,175,178,179,184,191,195,196,201,205,213,218,219,222,228,230,237,241,244,245,247,248,251,257,260,262,267,269,271,274,276,280,286,289,297,303,305,312,318,319,328,334,338,340,343,349,354,357,364,366,369,379,381,391,402,410,412,419,424,431,437,444,452,456,468,474,480,487,492,500,511,516,521,528,532,542,548,554,561,572,581,591,595,603,608,616,622,624,631,638,643,648,653,659,664,672,680,685,690,692,696,700,704,712,716,717,723,730,734,738,742,749,754,765,768,778,783,791,802,806,819,830,842,850,852,858,868,876,882,895,905,917,929,942,950,969,984,996,1007,1017,1025,1036,1048,1062,1070,1082,1096,1105,1112,1128,1141,1154,1159,1168,1176,1192,1206,1220,1233,1248,1268,1276,1291,1305,1328,1338,1348,1359,1371,1384,1392,1404,1409,1412,1417,1421,1427,1436,1447,1454,1461,1475,1478,1483,1488,1498,1501,1506,1511,1514,1519,1527,1532,1539,1543,1547,1554,1562,1570,1576,1585,1598,1607,1617,1625,1640,1648,1663,1675,1692,1700,1711,1720,1734,1756,1771,1776,1790,1801,1816,1827,1833,1845,1852,1859,1869,1878,1882,1889,1894,1895,1896,1900,1902,1904,1905,1906,1906,1906,1906,1906,1906
Baja California,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,5,7,7,10,12,20,28,36,51,57,63,72,79,97,105,116,133,146,156,174,196,217,238,255,280,296,317,344,371,395,418,451,470,503,537,567,597,616,644,684,719,758,803,837,870,905,936,974,997,1033,1069,1094,1135,1164,1196,1236,1270,1308,1340,1375,1390,1419,1451,1479,1506,1533,1558,1581,1617,1641,1682,1710,1739,1763,1802,1816,1853,1879,1909,1938,1955,1970,2001,2023,2056,2078,2099,2122,2151,2169,2197,2220,2250,2277,2303,2342,2363,2395,2418,2442,2465,2494,2517,2540,2571,2600,2627,2646,2668,2685,2704,2722,2740,2759,2785,2804,2831,2859,2879,2903,2927,2943,2961,2981,2997,3019,3033,3058,3076,3097,3107,3119,3134,3154,3170,3179,3186,3196,3204,3217,3231,3243,3259,3275,3280,3291,3316,3328,3343,3349,3368,3380,3394,3407,3422,3428,3438,3450,3454,3470,3485,3495,3512,3525,3537,3552,3560,3573,3584,3595,3601,3610,3622,3628,3637,3646,3661,3673,3678,3687,3691,3699,3709,3723,3729,3742,3750,3759,3769,3777,3790,3799,3803,3812,3818,3834,3843,3848,3863,3875,3885,3889,3904,3923,3936,3948,3960,3968,3981,3991,4011,4028,4040,4059,4065,4077,4088,4102,4113,4119,4129,4142,4155,4171,4184,4204,4222,4234,4258,4280,4299,4313,4329,4349,4361,4378,4390,4412,4435,4467,4506,4539,4557,4596,4631,4659,4688,4720,4746,4781,4813,4842,4891,4942,4980,5012,5046,5083,5126,5172,5225,5265,5306,5343,5386,5435,5502,5560,5619,5649,5674,5728,5778,5822,5866,5905,5948,6001,6042,6084,6132,6166,6211,6254,6286,6342,6394,6442,6497,6539,6576,6615,6649,6684,6715,6742,6780,6814,6843,6864,6898,6916,6941,6958,6976,6997,7016,7038,7063,7073,7095,7104,7111,7123,7132,7145,7156,7164,7166,7169,7177,7180,7184,7186,7186,7186,7186,7186,7186,7186
Baja California Sur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,3,3,4,4,4,4,5,7,8,8,9,10,10,12,14,15,15,16,17,19,19,21,21,21,22,23,23,23,23,24,25,27,27,27,28,29,30,32,32,32,32,33,33,35,35,36,36,38,38,39,39,39,39,40,41,41,41,43,44,45,46,48,52,52,54,54,56,57,57,58,59,59,61,63,64,65,67,70,72,73,75,77,78,80,80,82,86,86,86,89,94,95,99,104,106,116,118,120,122,124,127,131,137,142,150,156,161,166,167,174,176,186,188,196,201,208,221,224,234,239,248,259,267,277,290,299,310,317,324,331,344,353,358,364,372,379,386,396,404,410,413,424,431,439,448,455,459,464,470,474,482,495,497,505,515,517,518,519,526,527,532,538,541,541,549,553,557,561,565,568,572,576,581,584,585,588,592,597,599,601,604,606,611,614,615,616,618,621,623,624,625,626,629,631,633,633,637,638,639,640,643,649,652,653,657,659,661,662,665,668,669,670,672,672,680,682,685,686,687,688,689,693,698,699,702,704,704,705,710,710,713,715,715,720,723,723,725,727,729,731,732,734,735,737,740,742,743,744,748,751,754,759,765,769,770,773,776,778,784,790,795,798,801,804,809,813,819,828,833,833,838,838,843,846,850,853,859,862,867,872,877,881,887,891,897,905,919,926,933,940,949,957,968,973,987,993,1001,1008,1014,1026,1033,1038,1045,1048,1057,1062,1073,1080,1087,1091,1095,1098,1103,1105,1108,1110,1111,1114,1117,1119,1122,1123,1124,1124,1124,1124,1124,1124
Campeche,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,3,3,3,3,3,3,3,3,4,4,5,5,5,6,8,9,9,11,13,14,17,18,18,23,23,27,29,31,33,35,36,37,39,45,46,47,49,51,55,58,58,61,64,67,69,74,75,81,82,84,88,88,92,96,103,107,110,114,117,119,124,127,131,136,140,145,151,158,164,168,174,180,186,190,200,210,223,235,248,255,260,276,289,298,316,337,347,358,372,387,401,409,418,432,446,462,489,500,511,522,535,547,558,572,591,599,613,623,635,650,662,688,699,713,718,728,742,752,763,772,781,793,800,805,812,817,820,827,832,838,843,847,850,852,855,857,858,864,866,870,871,873,876,884,886,890,890,892,892,894,900,904,906,908,908,908,909,909,909,910,911,913,918,922,924,924,924,926,928,928,928,930,930,930,930,932,933,935,936,936,936,937,937,937,938,940,940,940,941,943,943,944,944,944,945,946,946,947,947,949,950,950,951,951,951,952,952,952,952,952,952,952,952,953,953,955,955,955,955,955,955,955,955,957,958,959,959,961,961,961,962,962,962,964,964,965,965,966,966,966,966,967,967,968,968,968,968,968,968,968,969,969,971,972,972,974,976,976,978,978,978,980,980,981,981,983,983,985,985,986,986,987,987,989,989,990,993,995,996,996,997,999,1000,1003,1006,1007,1008,1010,1011,1014,1015,1016,1016,1017,1017,1019,1021,1023,1023,1027,1028,1028,1028,1033,1033,1033,1033,1033,1033,1035,1036,1038,1038,1039,1039,1039,1039,1039,1039,1039
Chiapas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,3,3,3,4,4,4,5,7,7,7,8,9,11,11,12,12,13,13,13,13,14,16,19,20,22,22,25,26,28,31,36,39,42,45,49,56,62,69,73,79,91,96,108,112,125,134,144,157,170,181,190,209,224,244,267,280,296,308,329,343,358,378,404,426,447,473,492,509,518,531,549,569,585,601,619,643,661,675,686,705,726,742,758,776,793,805,817,831,848,862,875,888,902,910,913,927,939,947,952,957,965,975,985,991,997,1008,1011,1023,1032,1037,1042,1045,1051,1055,1062,1065,1068,1074,1077,1084,1090,1096,1101,1104,1105,1110,1112,1115,1117,1118,1121,1122,1124,1125,1125,1127,1128,1128,1129,1131,1131,1133,1134,1134,1136,1136,1136,1137,1137,1137,1137,1138,1141,1142,1145,1146,1146,1146,1148,1148,1148,1148,1148,1148,1149,1149,1150,1151,1151,1153,1153,1153,1153,1154,1155,1155,1156,1158,1159,1159,1159,1160,1161,1161,1162,1162,1162,1163,1164,1164,1164,1164,1165,1165,1165,1167,1168,1169,1169,1169,1169,1169,1169,1169,1169,1170,1170,1170,1173,1174,1174,1174,1174,1174,1174,1174,1174,1175,1175,1175,1175,1176,1177,1178,1178,1178,1178,1178,1178,1178,1178,1178,1178,1179,1180,1180,1182,1185,1185,1185,1186,1186,1187,1187,1188,1188,1188,1189,1191,1192,1193,1195,1195,1195,1197,1200,1200,1201,1204,1206,1208,1208,1211,1211,1213,1217,1219,1223,1223,1225,1228,1231,1232,1239,1242,1245,1249,1257,1263,1271,1276,1283,1288,1293,1302,1308,1311,1319,1325,1331,1339,1344,1348,1355,1360,1362,1369,1371,1376,1381,1386,1387,1387,1388,1389,1391,1393,1393,1393,1396,1397,1398,1400,1402,1402,1402,1402,1402,1402,1402
Chihuahua,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,3,4,7,9,13,16,21,22,28,33,37,38,41,44,47,55,57,65,70,77,84,92,96,106,117,122,132,148,161,173,179,190,200,218,230,242,253,264,274,290,298,314,332,339,355,368,374,392,405,416,426,436,453,460,471,486,497,510,517,529,539,545,552,565,577,589,598,607,626,636,648,655,663,675,684,697,709,716,726,737,744,749,758,762,768,773,779,783,791,796,801,813,819,827,838,843,858,875,883,889,897,906,916,927,935,949,956,962,976,987,996,1010,1021,1030,1040,1050,1062,1078,1090,1101,1108,1114,1123,1129,1141,1152,1158,1170,1178,1185,1194,1206,1216,1223,1227,1232,1240,1251,1259,1267,1272,1278,1289,1293,1298,1302,1312,1327,1330,1333,1343,1359,1372,1384,1392,1397,1404,1413,1421,1432,1439,1447,1454,1460,1473,1485,1490,1496,1508,1516,1520,1524,1538,1547,1559,1571,1575,1585,1598,1606,1616,1632,1642,1647,1652,1666,1683,1697,1720,1734,1751,1761,1780,1807,1840,1867,1897,1930,1967,1999,2040,2079,2122,2166,2209,2258,2324,2383,2427,2484,2540,2616,2691,2759,2809,2875,2948,3013,3076,3129,3178,3241,3307,3367,3434,3472,3528,3574,3630,3673,3731,3766,3806,3826,3878,3931,3972,4000,4048,4075,4110,4141,4165,4194,4226,4258,4278,4307,4330,4358,4380,4393,4408,4419,4430,4441,4469,4483,4493,4502,4517,4527,4539,4551,4567,4587,4594,4608,4621,4629,4639,4650,4659,4672,4678,4685,4696,4713,4726,4727,4734,4749,4756,4771,4795,4807,4819,4826,4837,4845,4858,4871,4883,4894,4904,4916,4924,4941,4953,4964,4973,4985,4988,4994,5004,5007,5012,5016,5020,5027,5035,5039,5049,5054,5055,5058,5058,5058,5060,5062,5063,5063,5063,5064,5064,5065,5065
Ciudad de México,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,2,2,2,2,3,4,5,5,6,7,8,9,13,18,23,28,34,42,48,56,65,82,95,108,114,125,140,151,170,188,212,237,266,290,322,347,376,421,474,520,580,638,695,753,817,890,977,1047,1130,1221,1297,1380,1479,1596,1685,1795,1865,1933,2016,2110,2192,2298,2411,2495,2610,2753,2881,2991,3104,3240,3374,3476,3614,3725,3850,3959,4049,4126,4208,4334,4449,4572,4704,4811,4914,5007,5127,5231,5322,5417,5510,5588,5676,5770,5882,5982,6073,6149,6225,6302,6395,6478,6540,6617,6699,6750,6799,6877,6942,7016,7075,7145,7198,7252,7312,7378,7433,7473,7513,7564,7604,7656,7715,7759,7796,7845,7904,7954,8017,8063,8121,8176,8217,8265,8302,8374,8423,8480,8538,8586,8628,8664,8725,8773,8821,8882,8925,8969,9014,9070,9118,9167,9209,9250,9293,9329,9365,9408,9446,9497,9539,9573,9606,9650,9687,9725,9756,9803,9849,9892,9943,10003,10047,10091,10143,10186,10229,10281,10322,10373,10429,10464,10501,10538,10590,10633,10685,10726,10772,10806,10844,10895,10926,10963,11028,11067,11108,11150,11202,11241,11284,11326,11365,11397,11441,11490,11539,11589,11633,11671,11713,11759,11808,11863,11917,11961,12002,12035,12078,12122,12167,12222,12270,12324,12365,12406,12462,12524,12570,12615,12661,12706,12748,12797,12854,12902,12945,12981,13021,13068,13116,13167,13223,13280,13330,13390,13445,13513,13575,13658,13728,13807,13862,13937,13996,14065,14148,14218,14286,14345,14418,14514,14592,14677,14759,14863,14943,15025,15129,15237,15347,15453,15547,15646,15764,15894,16013,16142,16269,16400,16518,16630,16782,16930,17096,17255,17407,17553,17714,17879,18041,18223,18390,18545,18700,18875,19054,19213,19367,19543,19693,19853,20010,20182,20350,20543,20739,20944,21108,21298,21487,21688,21897,22108,22300,22479,22635,22811,23012,23185,23364,23544,23708,23861,24026,24168,24328,24456,24587,24706,24789,24878,24989,25079,25155,25217,25289,25333,25378,25409,25440,25464,25473,25483,25486,25486,25486
Coahuila,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,3,4,4,5,5,6,7,12,14,18,18,19,19,19,21,22,25,27,29,30,30,31,33,37,38,39,45,48,49,51,52,53,55,56,59,63,63,64,66,68,69,70,71,73,75,76,77,78,80,80,81,83,84,89,89,89,91,94,96,99,103,107,110,112,115,119,121,124,126,132,134,138,142,146,157,162,173,180,181,190,199,212,216,223,230,240,248,257,261,270,283,297,312,324,338,354,370,379,410,432,448,464,475,489,505,529,553,576,592,614,629,649,678,702,731,751,781,806,827,851,878,902,924,954,968,987,1020,1049,1082,1104,1128,1150,1171,1197,1223,1252,1276,1299,1321,1340,1373,1392,1410,1422,1442,1460,1480,1499,1524,1543,1559,1574,1587,1605,1620,1642,1661,1682,1705,1722,1732,1752,1761,1777,1787,1804,1823,1843,1857,1875,1893,1903,1910,1920,1930,1944,1959,1969,1979,1989,2002,2006,2018,2033,2047,2058,2070,2080,2090,2099,2107,2117,2127,2138,2144,2154,2166,2183,2204,2211,2219,2232,2246,2269,2288,2309,2336,2353,2377,2401,2432,2458,2497,2525,2545,2578,2604,2635,2660,2683,2709,2737,2759,2784,2827,2852,2883,2910,2949,2984,3015,3056,3094,3132,3165,3198,3231,3258,3298,3333,3378,3412,3450,3477,3506,3534,3574,3611,3646,3673,3697,3716,3753,3779,3802,3834,3852,3874,3891,3921,3953,3981,4006,4028,4047,4067,4089,4109,4136,4169,4189,4207,4229,4249,4275,4300,4322,4336,4367,4395,4430,4458,4487,4505,4535,4567,4613,4660,4691,4730,4771,4804,4824,4852,4893,4920,4959,4998,5036,5065,5107,5148,5182,5204,5231,5260,5290,5312,5339,5362,5372,5389,5410,5423,5435,5450,5469,5485,5496,5506,5510,5516,5520,5525,5529,5533,5534,5535,5535,5535,5535
Colima,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,3,3,3,3,3,4,4,4,4,5,5,5,5,5,7,7,7,8,9,10,10,10,10,10,10,10,10,11,15,16,17,18,22,24,24,26,26,27,29,30,31,31,31,32,32,33,33,35,36,39,39,41,42,45,47,47,49,49,52,53,56,60,65,67,71,73,77,79,83,85,89,90,94,96,99,100,105,106,109,111,113,118,122,128,136,145,148,153,156,165,168,175,179,185,191,203,209,219,227,230,236,241,246,254,262,274,281,286,292,303,312,316,325,332,334,338,344,350,360,365,370,380,387,397,403,411,419,426,429,438,452,458,464,470,473,475,480,491,496,498,500,502,506,509,513,518,525,530,533,535,541,547,553,556,563,569,574,577,580,584,594,600,603,610,615,617,623,627,634,637,644,648,651,656,661,670,678,684,690,692,696,697,702,707,712,713,716,718,720,722,725,727,730,733,737,739,740,743,744,747,749,751,752,753,756,760,761,762,765,768,768,769,769,771,772,775,775,777,778,779,779,780,780,782,787,787,790,791,792,792,793,793,793,794,796,797,799,800,801,802,804,804,805,806,807,807,807,811,812,814,815,820,821,823,824,826,830,832,834,834,843,844,852,854,856,859,865,871,875,883,889,893,896,906,912,921,924,928,934,941,947,954,961,966,970,974,976,980,986,988,993,997,1001,1004,1006,1007,1012,1014,1016,1017,1017,1018,1018,1019,1020,1020,1020
Durango,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,6,6,6,7,8,8,8,8,9,9,10,11,11,13,14,15,15,15,16,17,19,20,21,22,22,25,28,32,33,38,39,39,39,40,45,47,49,49,52,56,60,66,68,73,76,78,80,80,82,88,93,100,105,113,114,117,125,128,133,137,142,153,156,160,166,168,172,176,179,184,192,195,200,204,209,215,220,223,229,232,242,248,252,257,260,266,271,271,273,282,291,295,304,312,314,323,329,333,340,347,350,358,363,368,373,381,384,388,394,405,408,412,421,425,432,439,444,451,457,464,467,469,473,480,491,496,503,508,513,523,528,531,536,541,550,556,562,563,569,578,583,588,592,602,609,613,621,630,633,635,638,646,652,656,663,667,670,672,679,684,688,693,698,702,706,714,717,724,728,732,734,738,743,755,764,773,779,785,792,801,809,816,828,835,841,856,876,892,910,920,934,944,953,967,979,999,1019,1036,1044,1056,1072,1085,1110,1126,1137,1148,1156,1176,1193,1206,1216,1225,1235,1246,1266,1294,1304,1317,1335,1349,1363,1386,1402,1412,1429,1440,1446,1454,1470,1482,1506,1521,1532,1536,1541,1552,1563,1570,1580,1590,1595,1605,1617,1625,1637,1641,1649,1655,1661,1668,1675,1684,1691,1696,1702,1712,1724,1731,1741,1750,1752,1754,1758,1776,1793,1798,1809,1812,1817,1825,1838,1853,1860,1876,1882,1887,1893,1904,1908,1915,1925,1929,1935,1941,1950,1957,1959,1964,1969,1970,1975,1977,1987,1990,1994,1999,1999,2008,2011,2012,2016,2019,2019,2019,2019,2019,2019
