Estado,23-01-2020,24-01-2020,25-01-2020,26-01-2020,27-01-2020,28-01-2020,29-01-2020,30-01-2020,31-01-2020,01-02-2020,02-02-2020,03-02-2020,04-02-2020,05-02-2020,06-02-2020,07-02-2020,08-02-2020,09-02-2020,10-02-2020,11-02-2020,12-02-2020,13-02-2020,14-02-2020,15-02-2020,16-02-2020,17-02-2020,18-02-2020,19-02-2020,20-02-2020,21-02-2020,22-02-2020,23-02-2020,24-02-2020,25-02-2020,26-02-2020,27-02-2020,28-02-2020,29-02-2020,01-03-2020,02-03-2020,03-03-2020,04-03-2020,05-03-2020,06-03-2020,07-03-2020,08-03-2020,09-03-2020,10-03-2020,11-03-2020,12-03-2020,13-03-2020,14-03-2020,15-03-2020,16-03-2020,17-03-2020,18-03-2020,19-03-2020,20-03-2020,21-03-2020,22-03-2020,23-03-2020,24-03-2020,25-03-2020,26-03-2020,27-03-2020,28-03-2020,29-03-2020,30-03-2020,31-03-2020,01-04-2020,02-04-2020,03-04-2020,04-04-2020,05-04-2020,06-04-2020,07-04-2020,08-04-2020,09-04-2020,10-04-2020,11-04-2020,12-04-2020,13-04-2020,14-04-2020,15-04-2020,16-04-2020,17-04-2020,18-04-2020,19-04-2020,20-04-2020,21-04-2020,22-04-2020,23-04-2020,24-04-2020,25-04-2020,26-04-2020,27-04-2020,28-04-2020,29-04-2020,30-04-2020,01-05-2020,02-05-2020,03-05-2020,04-05-2020,05-05-2020,06-05-2020,07-05-2020,08-05-2020,09-05-2020,10-05-2020,11-05-2020,12-05-2020,13-05-2020,14-05-2020,15-05-2020,16-05-2020,17-05-2020,18-05-2020,19-05-2020,20-05-2020,21-05-2020,22-05-2020,23-05-2020,24-05-2020,25-05-2020,26-05-2020,27-05-2020,28-05-2020,29-05-2020,30-05-2020,31-05-2020,01-06-2020,02-06-2020,03-06-2020,04-06-2020,05-06-2020,06-06-2020,07-06-2020,08-06-2020,09-06-2020,10-06-2020,11-06-2020,12-06-2020,13-06-2020,14-06-2020,15-06-2020,16-06-2020,17-06-2020,18-06-2020,19-06-2020,20-06-2020,21-06-2020,22-06-2020,23-06-2020,24-06-2020,25-06-2020,26-06-2020,27-06-2020,28-06-2020,29-06-2020,30-06-2020,01-07-2020,02-07-2020,03-07-2020,04-07-2020,05-07-2020,06-07-2020,07-07-2020,08-07-2020,09-07-2020,10-07-2020,11-07-2020,12-07-2020,13-07-2020,14-07-2020,15-07-2020,16-07-2020,17-07-2020,18-07-2020,19-07-2020,20-07-2020,21-07-2020,22-07-2020,23-07-2020,24-07-2020,25-07-2020,26-07-2020,27-07-2020,28-07-2020,29-07-2020,30-07-2020,31-07-2020,01-08-2020,02-08-2020,03-08-2020,04-08-2020,05-08-2020,06-08-2020,07-08-2020,08-08-2020,09-08-2020,10-08-2020,11-08-2020,12-08-2020,13-08-2020,14-08-2020,15-08-2020,16-08-2020,17-08-2020,18-08-2020,19-08-2020,20-08-2020,21-08-2020,22-08-2020,23-08-2020,24-08-2020,25-08-2020,26-08-2020,27-08-2020,28-08-2020,29-08-2020,30-08-2020,31-08-2020,01-09-2020,02-09-2020,03-09-2020,04-09-2020,05-09-2020,06-09-2020,07-09-2020,08-09-2020,09-09-2020,10-09-2020,11-09-2020,12-09-2020,13-09-2020,14-09-2020,15-09-2020,16-09-2020,17-09-2020,18-09-2020,19-09-2020,20-09-2020,21-09-2020,22-09-2020,23-09-2020,24-09-2020,25-09-2020,26-09-2020,27-09-2020,28-09-2020,29-09-2020,30-09-2020,01-10-2020,02-10-2020,03-10-2020,04-10-2020,05-10-2020,06-10-2020,07-10-2020,08-10-2020,09-10-2020,10-10-2020,11-10-2020,12-10-2020,13-10-2020,14-10-2020,15-10-2020,16-10-2020,17-10-2020,18-10-2020,19-10-2020,20-10-2020,21-10-2020,22-10-2020,23-10-2020,24-10-2020,25-10-2020,26-10-2020,27-10-2020,28-10-2020,29-10-2020,30-10-2020,31-10-2020,01-11-2020,02-11-2020,03-11-2020,04-11-2020,05-11-2020,06-11-2020,07-11-2020,08-11-2020,09-11-2020,10-11-2020,11-11-2020,12-11-2020,13-11-2020,14-11-2020,15-11-2020,16-11-2020,17-11-2020,18-11-2020,19-11-2020
Aguascalientes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,10,11,11,12,12,12,12,12,13,14,14,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,16,16,16,16,16,16,16,16,16,17,17,17,17,17,17,17,17,17,17,17,18,19,19,19,19,19,19,20,21,21,21,21,21,21,23,23,23,23,23,23,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,25,25,25,25,25,25,25,25,25,26,27,28,28,28,28,28,30,31,32,32,32,33,33,33,33,33,35,35,35,35,35,35,37,37,37,37,39,40,42,44,45,46,46,46,47,47,47,47,47,47,47
Baja California,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,3,3,3,3,3,3,3,3,4,6,7,10,11,15,19,28,33,35,45,48,62,74,87,92,101,109,119,130,138,153,162,172,181,191,198,210,223,238,244,255,266,274,280,292,299,303,309,314,319,323,325,327,330,333,335,338,339,340,341,342,342,342,346,347,350,351,352,353,353,356,360,364,366,368,372,375,377,377,377,380,385,387,389,392,393,396,397,398,405,406,408,410,410,414,416,418,418,420,420,423,424,424,424,424,427,428,430,430,430,431,432,433,433,434,435,435,435,436,438,439,443,443,443,443,444,444,444,444,448,448,450,450,451,452,452,454,455,455,456,456,456,456,457,457,459,459,459,459,459,460,460,461,462,463,463,465,465,465,465,465,466,466,466,466,467,467,469,471,473,473,473,474,475,476,478,478,478,479,479,479,480,484,485,486,488,488,490,491,492,493,493,495,495,497,498,500,502,504,504,504,505,507,508,509,509,510,510,510,512,512,512,513,513,514,515,516,518,519,520,520,522,524,524,526,527,529,530,530,531,533,535,537,538,540,543,543,544,545,545,545,545,545,546,547,547,547
Baja California Sur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9
Campeche,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,3,3,4,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,8,8,8,9,12,12,14,16,16,17,18,18,20,20,20,21,23,23,23,23,23,23,23,23,23,23,23,24,24,24,25,26,26,26,26,26,26,26,29,29,29,29,30,30,32,32,33,34,34,34,34,35,35,35,36,36,36,36,36,36,36,36,36,36,37,37,37,37,37,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,40,40,40,40,40,40,40,40,40,40,40,40,40,40,41,41,41,41,41,41,41,41,41,41,41,42,42,42,42,42,42,42,42
Chiapas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,7,8,8,8,9,9,10,12,13,14,14,15,17,20,22,25,26,28,31,34,36,37,47,52,58,63,65,68,73,94,107,123,133,145,157,167,176,186,194,206,212,228,232,258,270,276,279,283,293,301,308,315,321,327,334,336,338,340,345,351,353,354,356,358,359,361,362,362,363,364,364,364,364,364,364,365,365,366,366,366,367,367,368,369,369,369,369,369,369,369,369,369,370,370,370,370,370,371,371,371,371,371,371,371,371,372,372,372,372,372,372,372,372,372,372,372,372,372,372,372,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,376,376,376,376,376,376,376,376,376,376,376,376,376,377,377,378,378,378,378,378,378,378,378,378,378,379,379,379,379,379,379,379,379,379,379,379,379,379,379,379,379,379,379,379,379,379,379,379,379,379,379,379,379,379,379,379,379,379,379,379,379
Chihuahua,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,4,4,4,4,5,7,8,12,13,15,15,19,22,25,29,34,41,43,52,58,65,71,83,99,113,119,137,145,157,165,178,185,197,210,217,225,233,256,266,274,285,298,305,310,318,328,339,340,348,349,353,356,358,359,360,360,361,363,363,364,364,365,367,367,367,367,368,369,370,373,376,376,377,378,379,381,382,383,384,386,388,389,391,391,391,391,392,393,393,394,394,397,401,401,401,403,405,406,410,411,413,414,417,419,420,423,424,426,428,429,429,429,432,434,434,438,440,440,440,442,444,446,447,447,447,448,448,449,449,452,453,453,453,453,455,458,458,459,460,460,461,462,462,463,463,464,464,465,468,469,471,471,471,471,474,476,477,478,479,479,480,481,484,484,485,485,487,491,493,496,498,498,501,503,504,504,504,505,507,507,510,513,514,514,515,515,517,518,518,523,527,531,536,538,542,544,549,555,557,563,572,584,590,604,615,623,639,651,662,676,687,700,720,736,756,776,787,804,828,843,854,871,887,901,912,922,933,944,951,957,960,962,966,969,971,971,971,971,971,971
Ciudad de México,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,5,5,7,12,13,13,14,14,18,19,22,23,27,32,39,43,51,68,78,91,111,134,163,193,228,264,298,380,418,474,521,577,622,668,725,779,822,877,988,1045,1096,1145,1219,1271,1314,1383,1443,1534,1585,1639,1688,1741,1816,1853,1900,1952,1976,2027,2067,2097,2118,2154,2201,2237,2264,2302,2327,2349,2383,2438,2472,2500,2530,2571,2589,2613,2638,2652,2678,2704,2722,2741,2758,2769,2783,2795,2809,2826,2847,2861,2884,2892,2904,2923,2941,2950,2969,2995,3003,3013,3027,3031,3043,3050,3056,3058,3061,3065,3070,3079,3082,3085,3094,3104,3112,3116,3121,3125,3132,3138,3140,3143,3147,3150,3159,3164,3169,3173,3175,3180,3190,3192,3199,3203,3210,3216,3217,3219,3220,3227,3232,3235,3239,3249,3254,3260,3266,3271,3277,3282,3289,3290,3292,3301,3310,3318,3324,3329,3334,3341,3351,3362,3369,3373,3377,3383,3387,3392,3398,3402,3411,3419,3423,3423,3431,3437,3439,3442,3448,3452,3457,3461,3462,3471,3477,3484,3488,3494,3500,3504,3507,3518,3524,3529,3532,3533,3540,3542,3547,3555,3561,3567,3571,3578,3587,3595,3600,3602,3608,3614,3616,3618,3624,3633,3634,3646,3652,3661,3667,3676,3684,3687,3695,3699,3701,3705,3709,3714,3721,3725,3732,3737,3741,3748,3752,3755,3757,3757,3757,3757,3757
Coahuila,1,1,1,1,1,1,1,1,1,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,5,5,5,6,6,6,6,6,6,6,7,8,8,9,9,9,9,11,12,12,12,12,13,13,14,15,15,15,16,17,18,18,18,18,18,18,18,18,18,19,19,19,19,19,19,19,19,19,19,20,20,20,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,22,22,22,22,22,22,22,22,22,23,24,25,25,25,26,29,30,30,30,33,35,37,38,39,41,41,43,44,44,45,45,46,46,50,52,52,53,54,56,57,60,61,62,63,65,67,69,69,70,73,73,75,76,77,82,82,84,86,86,87,90,92,94,94,98,98,100,101,105,107,107,109,111,114,116,120,121,121,123,124,126,127,129,129,132,133,133,133,134,134,134,134,134,135,136,138,138,139,141,141,142,142,145,147,147,147,148,148,150,153,158,160,161,162,162,163,164,164,166,166,166,167,170,171,171,173,174,174,175,175,177,178,179,182,182,183,183,183,185,188,189,191,193,194,195,195,198,202,204,206,207,210,210,212,214,217,221,222,226,229,230,232,236,239,245,246,246,247,248,248,249,249,250,252,253,253,253,253,255,255,255,255
Colima,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,13,13,13,13
Durango,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,7,7,7,7,7,7,7,8,8,10,10,11,11,12,12,12,12,12,12,14,14,14,14,14,15,15,15,15,15,15,16,16,16,17,17,17,18,18,19,20,21,21,22,22,22,23,23,23,23,23,23,23,24,24,24,24,24,24,25,25,25,25,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,28,28,28,29,29,29,29,29,30,32,34,34,35,36,36,36,36,36,36,36,37,37,38,38,38,38,39,39,41,41,41,42,42,42,42,42,42,42,42,42,42,43,43,44,44,44,44,44,44
